日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
112/11/01,260 宜蘭市,LG2 芹菜 白梗 ,100.0,90.0,45.0,90.0, - 18,1850.0,    0,0
112/11/01,109 台北一,LG2 芹菜 白梗 ,67.2,34.7,26.6,39.6, -  5,7562.0, -  8,0
112/11/01,420 豐原區,LG2 芹菜 白梗 ,51.4,48.7,42.4,48.0, - 15,1226.0, + 45,0
112/11/01,220 板橋區,LG2 芹菜 白梗 ,48.6,41.9,29.0,40.7, +  1,1240.0, - 32,0
112/11/01,514 溪湖鎮,LG2 芹菜 白梗 ,97.9,75.8,40.0,73.0, -  0,100.0,    0,0
112/11/01,338 桃　農,LG2 芹菜 白梗 ,40.1,30.1,15.6,29.2, - 26,2731.0, + 39,0
112/11/01,104 台北二,LG2 芹菜 白梗 ,64.5,37.8,24.4,40.4, - 19,3997.0, + 18,0
112/11/01,950 花蓮市,LG2 芹菜 白梗 ,49.0,49.0,49.0,49.0, - 35,80.0, + 95,0
112/11/01,800 高雄市,LG2 芹菜 白梗 ,85.2,46.2,29.2,50.6, - 14,3070.0, -  2,0
112/11/01,241 三重區,LG2 芹菜 白梗 ,48.9,42.0,25.3,40.0, - 15,1220.0, + 12,0
112/11/01,930 台東市,LG2 芹菜 白梗 ,100.0,100.0,88.0,97.0, +  4,180.0,    0,0
112/11/01,648 西螺鎮,LG2 芹菜 白梗 ,98.7,83.2,40.0,78.9, +  1,6087.0, + 18,0
112/11/01,400 台中市,LG2 芹菜 白梗 ,44.0,37.8,22.4,32.8, - 24,1353.0, -  1,0
112/11/01,830 鳳山區,LG2 芹菜 白梗 ,49.3,49.3,49.3,49.3, + 65,40.0, - 79,0
112/11/02,400 台中市,LG2 芹菜 白梗 ,42.3,38.2,22.8,33.4, +  2,1161.0, - 14,0
112/11/02,104 台北二,LG2 芹菜 白梗 ,47.6,30.8,22.0,32.4, - 20,4127.0, +  3,0
112/11/02,930 台東市,LG2 芹菜 白梗 ,100.0,100.0,76.0,95.0, -  2,260.0, + 44,0
112/11/02,260 宜蘭市,LG2 芹菜 白梗 ,100.0,93.0,50.0,93.0, +  3,1850.0,    0,0
112/11/02,514 溪湖鎮,LG2 芹菜 白梗 ,97.2,76.0,40.0,73.0,    0,100.0,    0,0
112/11/02,830 鳳山區,LG2 芹菜 白梗 ,49.3,49.3,49.3,49.3,    0,80.0, +100,0
112/11/02,241 三重區,LG2 芹菜 白梗 ,41.7,32.6,11.9,30.3, - 24,1431.0, + 17,0
112/11/02,338 桃　農,LG2 芹菜 白梗 ,37.1,32.7,26.3,32.3, + 11,1853.0, - 32,0
112/11/02,220 板橋區,LG2 芹菜 白梗 ,42.8,38.5,31.3,37.9, -  7,1364.0, + 10,0
112/11/02,950 花蓮市,LG2 芹菜 白梗 ,24.0,24.0,24.0,24.0, - 51,32.0, - 60,0
112/11/02,420 豐原區,LG2 芹菜 白梗 ,48.6,41.9,30.1,40.9, - 15,644.0, - 47,0
112/11/02,109 台北一,LG2 芹菜 白梗 ,54.3,31.1,21.1,33.7, - 15,7286.0, -  4,0
112/11/02,800 高雄市,LG2 芹菜 白梗 ,83.3,43.2,23.2,47.2, -  7,2751.0, - 10,0
112/11/02,648 西螺鎮,LG2 芹菜 白梗 ,84.4,66.7,40.0,65.8, - 17,5980.0, -  2,0
112/11/02,900 屏東市,LG2 芹菜 白梗 ,46.0,45.5,45.0,45.5,  -  ,40.0,  -  ,0
112/11/03,950 花蓮市,LG2 芹菜 白梗 ,45.0,45.0,45.0,45.0, + 88,20.0, - 38,0
112/11/03,104 台北二,LG2 芹菜 白梗 ,46.2,30.1,24.1,32.1, -  1,3967.0, -  4,0
112/11/03,220 板橋區,LG2 芹菜 白梗 ,41.0,32.5,26.0,32.9, - 13,1855.0, + 36,0
112/11/03,648 西螺鎮,LG2 芹菜 白梗 ,82.8,66.7,40.0,63.6, -  3,7035.0, + 18,0
112/11/03,930 台東市,LG2 芹菜 白梗 ,100.0,100.0,75.0,95.0,    0,240.0, -  8,0
112/11/03,830 鳳山區,LG2 芹菜 白梗 ,46.9,46.8,46.8,46.8, -  5,80.0,    0,0
112/11/03,338 桃　農,LG2 芹菜 白梗 ,41.0,32.8,24.9,32.9, +  2,2173.0, + 17,0
112/11/03,514 溪湖鎮,LG2 芹菜 白梗 ,98.6,76.0,40.0,73.3, +  0,100.0,    0,0
112/11/03,420 豐原區,LG2 芹菜 白梗 ,49.1,44.8,30.7,42.8, +  5,872.0, + 35,0
112/11/03,241 三重區,LG2 芹菜 白梗 ,34.0,24.9,20.0,25.7, - 15,1403.0, -  2,0
112/11/03,800 高雄市,LG2 芹菜 白梗 ,75.3,37.6,19.4,41.5, - 12,3717.0, + 35,0
112/11/03,400 台中市,LG2 芹菜 白梗 ,40.5,37.0,25.2,35.6, +  7,1225.0, +  6,0
112/11/03,109 台北一,LG2 芹菜 白梗 ,53.8,32.2,27.3,35.5, +  5,6891.0, -  5,0
112/11/04,420 豐原區,LG2 芹菜 白梗 ,55.0,50.8,28.9,47.3, + 11,1192.0, + 37,0
112/11/04,930 台東市,LG2 芹菜 白梗 ,100.0,100.0,90.0,98.0, +  3,220.0, -  8,0
112/11/04,104 台北二,LG2 芹菜 白梗 ,49.4,35.4,24.1,35.9, + 12,3571.0, - 10,0
112/11/04,800 高雄市,LG2 芹菜 白梗 ,79.0,43.8,17.5,45.6, + 10,3004.0, - 19,0
112/11/04,220 板橋區,LG2 芹菜 白梗 ,37.4,27.6,20.0,28.0, - 15,1544.0, - 17,0
112/11/04,109 台北一,LG2 芹菜 白梗 ,59.9,32.9,27.5,37.2, +  5,7416.0, +  8,0
112/11/04,900 屏東市,LG2 芹菜 白梗 ,34.5,34.4,34.0,34.3,  -  ,60.0,  -  ,0
112/11/04,830 鳳山區,LG2 芹菜 白梗 ,46.9,46.8,46.8,46.8,    0,80.0,    0,0
112/11/04,338 桃　農,LG2 芹菜 白梗 ,45.4,37.2,24.6,36.3, + 10,2422.0, + 11,0
112/11/04,648 西螺鎮,LG2 芹菜 白梗 ,82.7,66.7,40.0,63.9, +  0,7373.0, +  5,0
