日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
112/11/01,109 台北一,LH2 菠菜 角葉 ,67.8,37.4,18.5,39.7, - 13,5815.0, - 19,0
112/11/01,220 板橋區,LH2 菠菜 角葉 ,51.5,33.6,20.5,34.6, - 41,4385.0, + 42,0
112/11/01,800 高雄市,LH2 菠菜 角葉 ,80.5,39.9,16.2,43.2, - 34,3850.0, -  1,0
112/11/01,104 台北二,LH1 菠菜 圓葉 ,86.0,60.0,43.6,61.9, - 20,4022.0, + 14,0
112/11/01,241 三重區,LH2 菠菜 角葉 ,31.4,25.9,18.4,25.5, - 38,2170.0, + 16,0
112/11/01,241 三重區,LH1 菠菜 圓葉 ,71.5,59.5,30.3,56.1, - 25,1822.0, + 74,0
112/11/01,220 板橋區,LH1 菠菜 圓葉 ,64.0,52.6,25.0,49.3, - 32,378.0, - 14,0
112/11/01,104 台北二,LH2 菠菜 角葉 ,55.2,35.2,20.5,36.2, - 21,2960.0, - 14,0
112/11/01,109 台北一,LH1 菠菜 圓葉 ,110.4,63.5,39.2,68.0, -  9,5355.0, - 20,0
112/11/01,830 鳳山區,LH1 菠菜 圓葉 ,55.2,26.2,18.3,30.4, +  4,790.0, - 12,0
112/11/01,648 西螺鎮,LH2 菠菜 角葉 ,78.3,60.0,35.0,59.3, - 26,3720.0, + 19,0
112/11/01,338 桃　農,LH2 菠菜 角葉 ,47.5,38.3,24.9,37.5, - 34,2240.0, + 44,0
112/11/01,420 豐原區,LH1 菠菜 圓葉 ,79.0,63.6,38.9,61.7, - 16,282.0, +194,0
112/11/01,420 豐原區,LH2 菠菜 角葉 ,62.0,49.8,27.7,47.8, - 42,230.0, - 81,0
112/11/01,400 台中市,LH2 菠菜 角葉 ,46.4,39.2,22.9,36.9, -  8,1585.0, - 42,0
112/11/01,338 桃　農,LH1 菠菜 圓葉 ,88.9,61.4,43.5,63.3, - 26,1421.0, + 77,0
112/11/01,400 台中市,LH1 菠菜 圓葉 ,74.8,49.6,22.4,42.4, - 37,1076.0, + 58,0
112/11/01,540 南投市,LH2 菠菜 角葉 ,120.0,72.0,32.0,71.69, + 16,259.0, +194,0
112/11/01,930 台東市,LH1 菠菜 圓葉 ,50.0,50.0,50.0,50.0,    0,80.0, - 33,0
112/11/01,900 屏東市,LH2 菠菜 角葉 ,60.1,44.4,16.6,42.0, - 27,3135.0, + 21,0
112/11/01,900 屏東市,LH1 菠菜 圓葉 ,55.5,32.1,15.0,32.1, + 55,1166.0, - 67,0
112/11/01,800 高雄市,LH1 菠菜 圓葉 ,84.2,58.5,27.4,57.4, -  3,1254.0, +271,0
112/11/02,930 台東市,LH1 菠菜 圓葉 ,50.0,50.0,50.0,50.0,    0,60.0, - 25,0
