日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
113/11/03,220 板橋區,LH1 菠菜 圓葉 ,105.0,105.0,85.4,101.1, +  7,409.0, + 48,0
113/11/04,648 西螺鎮,LH2 菠菜 角葉 ,114.3,90.0,50.0,87.1, +  0,2988.0, +  2,0
113/11/05,900 屏東市,LH1 菠菜 圓葉 ,48.5,24.0,15.0,24.0, - 35,674.0, - 16,0
113/11/05,800 高雄市,LH1 菠菜 圓葉 ,120.4,89.6,65.0,90.84, -  3,957.0, +124,0
113/11/05,241 三重區,LH2 菠菜 角葉 ,130.0,89.1,70.0,93.5, +  4,92.0, +130,0
113/11/05,260 宜蘭市,LH2 菠菜 角葉 ,90.0,60.0,23.0,60.0,  -  ,2750.0,  -  ,0
113/11/05,400 台中市,LH1 菠菜 圓葉 ,104.0,66.0,52.0,81.0, + 93,103.0, - 72,0
113/11/05,400 台中市,LH2 菠菜 角葉 ,72.0,56.6,47.5,56.4, - 24,320.0, +452,0
113/11/05,241 三重區,LH1 菠菜 圓葉 ,114.8,93.9,70.0,93.3, - 16,568.0, + 89,0
113/11/05,220 板橋區,LH2 菠菜 角葉 ,103.4,78.5,57.2,79.2, - 10,878.0, +527,0
113/11/05,220 板橋區,LH1 菠菜 圓葉 ,110.0,100.7,59.2,94.3, -  7,727.0, + 78,0
113/11/05,338 桃　農,LH1 菠菜 圓葉 ,114.8,73.3,13.6,69.7, - 39,662.0, +276,0
113/11/05,338 桃　農,LH2 菠菜 角葉 ,90.0,85.0,80.0,85.0,  -  ,60.0,  -  ,0
113/11/05,930 台東市,LH1 菠菜 圓葉 ,53.0,53.0,53.0,53.0,    0,60.0, -  6,0
113/11/05,540 南投市,LH2 菠菜 角葉 ,120.0,103.0,35.0,102.31,  -  ,136.0,  -  ,0
113/11/05,420 豐原區,LH2 菠菜 角葉 ,88.0,74.9,43.0,71.1, -  4,160.0, +  7,0
113/11/05,420 豐原區,LH1 菠菜 圓葉 ,101.0,91.7,61.4,87.5, +  9,87.0, +142,0
113/11/05,800 高雄市,LH2 菠菜 角葉 ,125.3,81.4,42.9,82.46, -  7,1202.0, + 26,0
113/11/05,830 鳳山區,LH1 菠菜 圓葉 ,65.1,28.6,20.0,34.2, +  5,890.0, -  9,0
113/11/05,900 屏東市,LH2 菠菜 角葉 ,103.8,69.2,28.9,68.0, - 30,640.0, +174,0
113/11/05,104 台北二,LH2 菠菜 角葉 ,111.6,64.2,27.0,66.2, - 14,647.0, + 70,0
113/11/05,104 台北二,LH1 菠菜 圓葉 ,125.0,84.5,51.4,86.0, -  5,2143.0, + 33,0
113/11/05,648 西螺鎮,LH2 菠菜 角葉 ,120.0,100.0,50.0,94.0, +  8,2834.0, -  5,0
113/11/05,109 台北一,LH1 菠菜 圓葉 ,136.8,92.0,54.3,93.4, -  2,4490.0, + 24,0
113/11/05,109 台北一,LH2 菠菜 角葉 ,96.3,65.3,25.4,63.5, - 49,2340.0, +516,0
113/11/06,241 三重區,LH1 菠菜 圓葉 ,109.0,63.9,33.3,66.8, - 28,940.0, + 65,0
113/11/06,241 三重區,LH2 菠菜 角葉 ,69.4,53.6,35.6,53.2, - 43,228.0, +148,0
113/11/06,104 台北二,LH1 菠菜 圓葉 ,134.7,90.7,53.7,92.1, +  7,1856.0, - 13,0
