日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
109/11/01,830 鳳山區,LH1 菠菜 圓葉 ,62.2,24.8,17.0,30.7,  -  ,820.0,  -  ,0
109/11/01,400 台中市,LH1 菠菜 圓葉 ,64.0,46.7,32.8,46.6, +  5,745.0, - 19,0
109/11/01,400 台中市,LH2 菠菜 角葉 ,50.6,43.2,38.4,43.9, + 12,1003.0, - 25,0
109/11/01,930 台東市,LH1 菠菜 圓葉 ,85.0,55.0,30.0,55.0,    0,30.0, - 50,0
109/11/01,241 三重區,LH1 菠菜 圓葉 ,72.0,55.7,36.7,55.2, + 14,725.0, - 17,0
109/11/01,104 台北二,LH2 菠菜 角葉 ,54.5,47.7,39.6,47.4, +  0,2467.0, + 11,0
109/11/01,104 台北二,LH1 菠菜 圓葉 ,73.6,60.1,43.7,59.5, +  8,4605.0, -  2,0
109/11/01,241 三重區,LH2 菠菜 角葉 ,60.3,46.3,40.0,47.8, -  2,500.0, -  5,0
109/11/01,220 板橋區,LH1 菠菜 圓葉 ,54.4,42.2,36.6,43.5, -  2,440.0, + 10,0
109/11/01,420 豐原區,LH1 菠菜 圓葉 ,32.0,32.0,32.0,32.0,  -  ,40.0,  -  ,0
109/11/01,109 台北一,LH1 菠菜 圓葉 ,69.6,56.4,39.4,55.6, +  2,10053.0, -  2,0
109/11/01,800 高雄市,LH1 菠菜 圓葉 ,76.8,66.9,58.7,67.2, -  3,1560.0, +  4,0
109/11/01,420 豐原區,LH2 菠菜 角葉 ,50.0,29.8,20.0,31.86, + 32,2100.0, + 84,0
109/11/01,800 高雄市,LH2 菠菜 角葉 ,66.7,52.9,45.3,54.1, -  0,2241.0, - 34,0
109/11/01,220 板橋區,LH2 菠菜 角葉 ,45.3,36.8,31.6,37.4, +  8,2830.0, -  1,0
109/11/01,338 桃　農,LH2 菠菜 角葉 ,51.0,45.8,30.0,43.7, + 38,115.0, - 49,0
109/11/01,109 台北一,LH2 菠菜 角葉 ,44.8,37.3,31.9,37.7, -  6,6720.0, +  0,0
109/11/01,900 屏東市,LH2 菠菜 角葉 ,65.0,34.3,15.0,34.3, - 17,986.0, + 27,0
109/11/01,900 屏東市,LH1 菠菜 圓葉 ,65.8,43.3,15.0,42.1, -  9,1318.0, -  5,0
109/11/01,338 桃　農,LH1 菠菜 圓葉 ,72.2,63.1,43.3,61.0, + 15,1425.0, - 10,0
109/11/02,648 西螺鎮,LH2 菠菜 角葉 ,59.6,46.1,26.7,45.2, -  0,11716.0, + 21,0
109/11/03,338 桃　農,LH1 菠菜 圓葉 ,67.9,48.3,33.7,49.3, - 19,2014.0, + 41,0
109/11/03,420 豐原區,LH2 菠菜 角葉 ,45.0,36.7,25.0,36.04, + 13,1640.0, - 22,0
109/11/03,104 台北二,LH2 菠菜 角葉 ,55.1,38.5,22.8,38.7, - 18,3455.0, + 40,0
109/11/03,220 板橋區,LH2 菠菜 角葉 ,44.3,38.7,30.5,38.2, +  2,4093.0, + 45,0
109/11/03,220 板橋區,LH1 菠菜 圓葉 ,72.0,53.2,44.0,55.1, + 27,300.0, - 32,0
109/11/03,830 鳳山區,LH1 菠菜 圓葉 ,57.5,25.6,16.2,30.1, -  2,860.0, +  5,0
109/11/03,648 西螺鎮,LH2 菠菜 角葉 ,59.4,45.8,26.7,44.9, -  1,10335.0, - 12,0
109/11/03,400 台中市,LH1 菠菜 圓葉 ,64.2,51.2,41.7,52.7, + 13,1793.0, +141,0
109/11/03,338 桃　農,LH2 菠菜 角葉 ,40.0,38.4,25.0,36.1, - 17,475.0, +313,0
109/11/03,104 台北二,LH1 菠菜 圓葉 ,64.6,51.8,39.6,51.9, - 13,5377.0, + 17,0
109/11/03,400 台中市,LH2 菠菜 角葉 ,46.7,39.8,35.7,42.0, -  4,496.0, - 51,0
109/11/03,109 台北一,LH1 菠菜 圓葉 ,68.5,51.8,37.3,52.2, -  6,12343.0, + 23,0
109/11/03,241 三重區,LH1 菠菜 圓葉 ,68.7,56.8,38.6,55.6, +  1,1385.0, + 91,0
109/11/03,241 三重區,LH2 菠菜 角葉 ,52.5,44.4,26.9,42.5, - 11,805.0, + 61,0
109/11/03,800 高雄市,LH1 菠菜 圓葉 ,77.8,65.3,52.0,65.2, -  3,1948.0, + 25,0
109/11/03,800 高雄市,LH2 菠菜 角葉 ,58.3,48.2,35.2,47.6, - 12,2388.0, +  7,0
109/11/03,900 屏東市,LH2 菠菜 角葉 ,58.9,50.8,37.2,49.7, + 45,1066.0, +  8,0
109/11/03,900 屏東市,LH1 菠菜 圓葉 ,61.6,49.5,15.0,45.0, +  7,1954.0, + 48,0
109/11/03,109 台北一,LH2 菠菜 角葉 ,52.6,41.3,26.8,40.7, +  8,5376.0, - 20,0
