日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),日照時數(hour),降水量(mm),降水時數(hour),相對溼度(%),最大陣風(m/s),氣溫(℃)_rollmean_3d,氣溫(℃)_rollmax_3d,氣溫(℃)_rollmin_3d,氣溫(℃)_rollmean_7d,氣溫(℃)_rollmax_7d,氣溫(℃)_rollmin_7d,氣溫(℃)_rollmean_30d,氣溫(℃)_rollmax_30d,氣溫(℃)_rollmin_30d,最高氣溫(℃)_rollmean_3d,最高氣溫(℃)_rollmax_3d,最高氣溫(℃)_rollmin_3d,最高氣溫(℃)_rollmean_7d,最高氣溫(℃)_rollmax_7d,最高氣溫(℃)_rollmin_7d,最高氣溫(℃)_rollmean_30d,最高氣溫(℃)_rollmax_30d,最高氣溫(℃)_rollmin_30d,最低氣溫(℃)_rollmean_3d,最低氣溫(℃)_rollmax_3d,最低氣溫(℃)_rollmin_3d,最低氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmax_7d,最低氣溫(℃)_rollmin_7d,最低氣溫(℃)_rollmean_30d,最低氣溫(℃)_rollmax_30d,最低氣溫(℃)_rollmin_30d,日照時數(hour)_rollmean_3d,日照時數(hour)_rollmax_3d,日照時數(hour)_rollmin_3d,日照時數(hour)_rollmean_7d,日照時數(hour)_rollmax_7d,日照時數(hour)_rollmin_7d,日照時數(hour)_rollmean_30d,日照時數(hour)_rollmax_30d,日照時數(hour)_rollmin_30d,相對溼度(%)_rollmean_3d,相對溼度(%)_rollmax_3d,相對溼度(%)_rollmin_3d,相對溼度(%)_rollmean_7d,相對溼度(%)_rollmax_7d,相對溼度(%)_rollmin_7d,相對溼度(%)_rollmean_30d,相對溼度(%)_rollmax_30d,相對溼度(%)_rollmin_30d,最大陣風(m/s)_rollmean_3d,最大陣風(m/s)_rollmax_3d,最大陣風(m/s)_rollmin_3d,最大陣風(m/s)_rollmean_7d,最大陣風(m/s)_rollmax_7d,最大陣風(m/s)_rollmin_7d,最大陣風(m/s)_rollmean_30d,最大陣風(m/s)_rollmax_30d,最大陣風(m/s)_rollmin_30d,降水量(mm)_rollsum_3d,降水量(mm)_rollsum_7d,降水量(mm)_rollsum_30d,降水時數(hour)_rollsum_3d,降水時數(hour)_rollsum_7d,降水時數(hour)_rollsum_30d,daily_temp_range,is_cold_wave,is_strong_cold,is_frost_risk,is_strong_wind,is_heavy_rain,consecutive_rainy_days,month,month_sin,month_cos,is_winter
107/09/01,26.75,32.2,24.1,,5.875,,83.0,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.100000000000001,0,0,0,0,0,1,9,-1.0,-1.8369701987210297e-16,0
107/09/02,27.35,31.950000000000003,23.6,,1.25,,78.5,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.350000000000001,0,0,0,0,0,2,9,-1.0,-1.8369701987210297e-16,0
107/09/03,27.8,33.3,23.85,,0.0,,74.0,7.6,27.3,27.8,26.75,,,,,,,32.483333333333334,33.3,31.950000000000003,,,,,,,23.850000000000005,24.1,23.6,,,,,,,,,,,,,,,,78.5,83.0,74.0,,,,,,,5.7,7.6,4.35,,,,,,,7.125,,,,,,9.449999999999996,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/04,28.8,35.15,25.35,,2.625,,73.5,9.0,27.983333333333334,28.8,27.35,,,,,,,33.46666666666667,35.15,31.950000000000003,,,,,,,24.26666666666667,25.35,23.6,,,,,,,,,,,,,,,,75.33333333333333,78.5,73.5,,,,,,,7.25,9.0,5.15,,,,,,,3.875,,,,,,9.799999999999997,0,0,0,0,0,1,9,-1.0,-1.8369701987210297e-16,0
107/09/05,27.4,32.3,25.05,,8.625,,85.0,6.1,28.0,28.8,27.4,,,,,,,33.583333333333336,35.15,32.3,,,,,,,24.75,25.35,23.85,,,,,,,,,,,,,,,,77.5,85.0,73.5,,,,,,,7.566666666666667,9.0,6.1,,,,,,,11.25,,,,,,7.2499999999999964,0,0,0,0,0,2,9,-1.0,-1.8369701987210297e-16,0
107/09/06,26.85,31.55,24.200000000000003,,10.375,,85.0,4.15,27.683333333333337,28.8,26.85,,,,,,,33.0,35.15,31.55,,,,,,,24.86666666666667,25.35,24.200000000000003,,,,,,,,,,,,,,,,81.16666666666667,85.0,73.5,,,,,,,6.416666666666667,9.0,4.15,,,,,,,21.625,,,,,,7.349999999999998,0,0,0,0,0,3,9,-1.0,-1.8369701987210297e-16,0
107/09/07,26.6,32.25,23.85,,23.875,,86.0,5.8,26.95,27.4,26.6,27.364285714285717,28.8,26.6,,,,32.03333333333333,32.3,31.55,32.67142857142857,35.15,31.55,,,,24.36666666666667,25.05,23.85,24.285714285714285,25.35,23.6,,,,,,,,,,,,,85.33333333333333,86.0,85.0,80.71428571428571,86.0,73.5,,,,5.3500000000000005,6.1,4.15,6.021428571428571,9.0,4.15,,,,42.875,52.625,,,,,8.399999999999999,0,0,0,0,0,4,9,-1.0,-1.8369701987210297e-16,0
107/09/08,25.55,29.35,23.3,,0.875,,88.5,5.5,26.333333333333332,26.85,25.55,27.192857142857143,28.8,25.55,,,,31.05,32.25,29.35,32.26428571428572,35.15,29.35,,,,23.783333333333335,24.200000000000003,23.3,24.171428571428574,25.35,23.3,,,,,,,,,,,,,86.5,88.5,85.0,81.5,88.5,73.5,,,,5.1499999999999995,5.8,4.15,6.185714285714285,9.0,4.15,,,,35.125,47.625,,,,,6.050000000000001,0,0,0,0,0,5,9,-1.0,-1.8369701987210297e-16,0
107/09/09,23.65,25.7,22.45,,0.625,,89.0,9.65,25.266666666666666,26.6,23.65,26.664285714285715,28.8,23.65,,,,29.100000000000005,32.25,25.7,31.37142857142857,35.15,25.7,,,,23.200000000000003,23.85,22.45,24.00714285714286,25.35,22.45,,,,,,,,,,,,,87.83333333333333,89.0,86.0,83.0,89.0,73.5,,,,6.983333333333334,9.65,5.5,6.828571428571428,9.65,4.15,,,,25.375,47.0,,,,,3.25,0,0,0,0,0,6,9,-1.0,-1.8369701987210297e-16,0
107/09/10,25.15,29.6,20.9,,0.125,,80.0,9.15,24.78333333333333,25.55,23.65,26.285714285714285,28.8,23.65,,,,28.21666666666667,29.6,25.7,30.842857142857145,35.15,25.7,,,,22.216666666666665,23.3,20.9,23.585714285714285,25.35,20.9,,,,,,,,,,,,,85.83333333333333,89.0,80.0,83.85714285714286,89.0,73.5,,,,8.1,9.65,5.5,7.05,9.65,4.15,,,,1.625,47.125,,,,,8.700000000000003,0,0,0,0,0,7,9,-1.0,-1.8369701987210297e-16,0
