日期,氣溫(℃),最高氣溫(℃),最低氣溫(℃),日照時數(hour),降水量(mm),降水時數(hour),相對溼度(%),最大陣風(m/s),氣溫(℃)_rollmean_3d,氣溫(℃)_rollmax_3d,氣溫(℃)_rollmin_3d,氣溫(℃)_rollmean_7d,氣溫(℃)_rollmax_7d,氣溫(℃)_rollmin_7d,氣溫(℃)_rollmean_30d,氣溫(℃)_rollmax_30d,氣溫(℃)_rollmin_30d,最高氣溫(℃)_rollmean_3d,最高氣溫(℃)_rollmax_3d,最高氣溫(℃)_rollmin_3d,最高氣溫(℃)_rollmean_7d,最高氣溫(℃)_rollmax_7d,最高氣溫(℃)_rollmin_7d,最高氣溫(℃)_rollmean_30d,最高氣溫(℃)_rollmax_30d,最高氣溫(℃)_rollmin_30d,最低氣溫(℃)_rollmean_3d,最低氣溫(℃)_rollmax_3d,最低氣溫(℃)_rollmin_3d,最低氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmax_7d,最低氣溫(℃)_rollmin_7d,最低氣溫(℃)_rollmean_30d,最低氣溫(℃)_rollmax_30d,最低氣溫(℃)_rollmin_30d,日照時數(hour)_rollmean_3d,日照時數(hour)_rollmax_3d,日照時數(hour)_rollmin_3d,日照時數(hour)_rollmean_7d,日照時數(hour)_rollmax_7d,日照時數(hour)_rollmin_7d,日照時數(hour)_rollmean_30d,日照時數(hour)_rollmax_30d,日照時數(hour)_rollmin_30d,相對溼度(%)_rollmean_3d,相對溼度(%)_rollmax_3d,相對溼度(%)_rollmin_3d,相對溼度(%)_rollmean_7d,相對溼度(%)_rollmax_7d,相對溼度(%)_rollmin_7d,相對溼度(%)_rollmean_30d,相對溼度(%)_rollmax_30d,相對溼度(%)_rollmin_30d,最大陣風(m/s)_rollmean_3d,最大陣風(m/s)_rollmax_3d,最大陣風(m/s)_rollmin_3d,最大陣風(m/s)_rollmean_7d,最大陣風(m/s)_rollmax_7d,最大陣風(m/s)_rollmin_7d,最大陣風(m/s)_rollmean_30d,最大陣風(m/s)_rollmax_30d,最大陣風(m/s)_rollmin_30d,降水量(mm)_rollsum_3d,降水量(mm)_rollsum_7d,降水量(mm)_rollsum_30d,降水時數(hour)_rollsum_3d,降水時數(hour)_rollsum_7d,降水時數(hour)_rollsum_30d,daily_temp_range,is_cold_wave,is_strong_cold,is_frost_risk,is_strong_wind,is_heavy_rain,consecutive_rainy_days,month,month_sin,month_cos,is_winter
112/09/01,27.766666666666666,33.36666666666667,25.03333333333333,,20.7,,88.0,5.966666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333336,0,0,0,0,0,1,9,-1.0,-1.8369701987210297e-16,0
112/09/02,27.666666666666668,31.83333333333333,24.33333333333333,,0.3,,88.33333333333333,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0,0,0,0,0,2,9,-1.0,-1.8369701987210297e-16,0
112/09/03,26.433333333333334,28.6,24.633333333333336,,4.0,,92.0,8.799999999999999,27.28888888888889,27.766666666666666,26.433333333333334,,,,,,,31.266666666666666,33.36666666666667,28.6,,,,,,,24.666666666666668,25.03333333333333,24.33333333333333,,,,,,,,,,,,,,,,89.44444444444444,92.0,88.0,,,,,,,5.988888888888888,8.799999999999999,3.2,,,,,,,25.0,,,,,,3.966666666666665,0,0,0,0,0,3,9,-1.0,-1.8369701987210297e-16,0
112/09/04,26.433333333333334,30.55,23.8,,7.5,,92.33333333333331,6.6,26.844444444444445,27.666666666666668,26.433333333333334,,,,,,,30.32777777777778,31.83333333333333,28.6,,,,,,,24.255555555555556,24.633333333333336,23.8,,,,,,,,,,,,,,,,90.88888888888887,92.33333333333331,88.33333333333333,,,,,,,6.2,8.799999999999999,3.2,,,,,,,11.8,,,,,,6.75,0,0,0,0,0,4,9,-1.0,-1.8369701987210297e-16,0
112/09/05,26.96666666666667,33.0,24.5,,32.1,,91.0,4.8,26.61111111111111,26.96666666666667,26.433333333333334,,,,,,,30.71666666666667,33.0,28.6,,,,,,,24.311111111111114,24.633333333333336,23.8,,,,,,,,,,,,,,,,91.77777777777777,92.33333333333331,91.0,,,,,,,6.733333333333333,8.799999999999999,4.8,,,,,,,43.6,,,,,,8.5,0,0,0,0,0,5,9,-1.0,-1.8369701987210297e-16,0
112/09/06,26.366666666666664,31.9,24.4,,52.5,,92.33333333333331,4.55,26.58888888888889,26.96666666666667,26.366666666666664,,,,,,,31.816666666666666,33.0,30.55,,,,,,,24.23333333333333,24.5,23.8,,,,,,,,,,,,,,,,91.88888888888887,92.33333333333331,91.0,,,,,,,5.316666666666666,6.6,4.55,,,,,,,92.1,,,,,,7.5,0,0,0,0,1,6,9,-1.0,-1.8369701987210297e-16,0
112/09/07,27.23333333333333,31.133333333333336,23.7,,4.8,,88.33333333333333,4.733333333333333,26.855555555555554,27.23333333333333,26.366666666666664,26.98095238095238,27.766666666666666,26.366666666666664,,,,32.01111111111111,33.0,31.133333333333336,31.48333333333333,33.36666666666667,28.6,,,,24.2,24.5,23.7,24.342857142857145,25.03333333333333,23.7,,,,,,,,,,,,,90.55555555555554,92.33333333333331,88.33333333333333,90.33333333333333,92.33333333333331,88.0,,,,4.694444444444444,4.8,4.55,5.521428571428571,8.799999999999999,3.2,,,,89.4,121.9,,,,,7.433333333333337,0,0,0,0,0,7,9,-1.0,-1.8369701987210297e-16,0
112/09/08,26.566666666666663,29.96666666666667,24.766666666666666,,3.5,,90.33333333333331,4.233333333333333,26.722222222222218,27.23333333333333,26.366666666666664,26.809523809523814,27.666666666666668,26.366666666666664,,,,31.000000000000004,31.9,29.96666666666667,30.997619047619047,33.0,28.6,,,,24.288888888888888,24.766666666666666,23.7,24.304761904761904,24.766666666666666,23.7,,,,,,,,,,,,,90.33333333333333,92.33333333333331,88.33333333333333,90.66666666666666,92.33333333333331,88.33333333333333,,,,4.5055555555555555,4.733333333333333,4.233333333333333,5.273809523809524,8.799999999999999,3.2,,,,60.8,104.7,,,,,5.200000000000003,0,0,0,0,0,8,9,-1.0,-1.8369701987210297e-16,0
112/09/09,26.23333333333333,30.433333333333334,23.9,,2.9,,87.66666666666667,5.3,26.677777777777777,27.23333333333333,26.23333333333333,26.604761904761904,27.23333333333333,26.23333333333333,,,,30.511111111111116,31.133333333333336,29.96666666666667,30.797619047619047,33.0,28.6,,,,24.12222222222222,24.766666666666666,23.7,24.242857142857144,24.766666666666666,23.7,,,,,,,,,,,,,88.77777777777777,90.33333333333331,87.66666666666667,90.57142857142856,92.33333333333331,87.66666666666667,,,,4.7555555555555555,5.3,4.233333333333333,5.5738095238095235,8.799999999999999,4.233333333333333,,,,11.2,107.3,,,,,6.533333333333335,0,0,0,0,0,9,9,-1.0,-1.8369701987210297e-16,0
112/09/10,26.83333333333333,31.8,23.73333333333333,,0.3,,84.0,4.566666666666667,26.54444444444444,26.83333333333333,26.23333333333333,26.66190476190476,27.23333333333333,26.23333333333333,,,,30.733333333333334,31.8,29.96666666666667,31.25476190476191,33.0,29.96666666666667,,,,24.13333333333333,24.766666666666666,23.73333333333333,24.11428571428571,24.766666666666666,23.7,,,,,,,,,,,,,87.33333333333333,90.33333333333331,84.0,89.42857142857142,92.33333333333331,84.0,,,,4.7,5.3,4.233333333333333,4.969047619047619,6.6,4.233333333333333,,,,6.7,103.6,,,,,8.06666666666667,0,0,0,0,0,10,9,-1.0,-1.8369701987210297e-16,0
112/09/11,26.5,31.066666666666663,22.96666666666667,,0.0,,83.33333333333333,5.466666666666666,26.522222222222222,26.83333333333333,26.23333333333333,26.67142857142857,27.23333333333333,26.23333333333333,,,,31.099999999999998,31.8,30.433333333333334,31.32857142857143,33.0,29.96666666666667,,,,23.53333333333333,23.9,22.96666666666667,23.995238095238097,24.766666666666666,22.96666666666667,,,,,,,,,,,,,85.0,87.66666666666667,83.33333333333333,88.14285714285714,92.33333333333331,83.33333333333333,,,,5.111111111111111,5.466666666666666,4.566666666666667,4.807142857142857,5.466666666666666,4.233333333333333,,,,3.1999999999999997,96.1,,,,,8.099999999999994,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/12,26.3,31.3,22.23333333333333,,0.0,,82.66666666666667,4.266666666666667,26.54444444444444,26.83333333333333,26.3,26.576190476190472,27.23333333333333,26.23333333333333,,,,31.38888888888889,31.8,31.066666666666663,31.085714285714285,31.9,29.96666666666667,,,,22.977777777777778,23.73333333333333,22.23333333333333,23.67142857142857,24.766666666666666,22.23333333333333,,,,,,,,,,,,,83.33333333333333,84.0,82.66666666666667,86.95238095238095,92.33333333333331,82.66666666666667,,,,4.766666666666667,5.466666666666666,4.266666666666667,4.730952380952381,5.466666666666666,4.233333333333333,,,,0.3,64.0,,,,,9.06666666666667,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/13,26.366666666666664,31.4,23.133333333333336,,0.0,,82.0,4.833333333333333,26.388888888888886,26.5,26.3,26.576190476190476,27.23333333333333,26.23333333333333,,,,31.25555555555556,31.4,31.066666666666663,31.014285714285712,31.8,29.96666666666667,,,,22.777777777777782,23.133333333333336,22.23333333333333,23.49047619047619,24.766666666666666,22.23333333333333,,,,,,,,,,,,,82.66666666666667,83.33333333333333,82.0,85.47619047619047,90.33333333333331,82.0,,,,4.855555555555555,5.466666666666666,4.266666666666667,4.771428571428571,5.466666666666666,4.233333333333333,,,,0.0,11.5,,,,,8.266666666666662,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/14,26.2,31.03333333333333,22.566666666666663,,0.0,,83.0,4.2,26.288888888888888,26.366666666666664,26.2,26.428571428571423,26.83333333333333,26.2,,,,31.24444444444445,31.4,31.03333333333333,31.0,31.8,29.96666666666667,,,,22.644444444444446,23.133333333333336,22.23333333333333,23.328571428571426,24.766666666666666,22.23333333333333,,,,,,,,,,,,,82.55555555555556,83.0,82.0,84.71428571428571,90.33333333333331,82.0,,,,4.433333333333334,4.833333333333333,4.2,4.695238095238095,5.466666666666666,4.2,,,,0.0,6.7,,,,,8.466666666666669,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
