日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
110/11/01,512 永靖鄉,LA1 甘藍 初秋 ,21.0,13.0,6.0,13.1, +  2,18420.0, + 15,0
110/11/01,514 溪湖鎮,LA1 甘藍 初秋 ,21.7,13.4,8.0,14.0, -  8,25610.0, - 16,0
110/11/01,648 西螺鎮,LA1 甘藍 初秋 ,27.3,17.0,11.5,17.9, -  5,189460.0, -  0,0
110/11/02,420 豐原區,LA1 甘藍 初秋 ,29.0,22.1,11.5,21.35, +  0,20366.0, + 51,0
110/11/02,241 三重區,LA1 甘藍 初秋 ,22.3,10.8,4.6,11.8, - 10,18018.0, + 34,0
110/11/02,648 西螺鎮,LA1 甘藍 初秋 ,28.1,17.2,10.9,18.0, +  1,181731.0, -  4,0
110/11/02,830 鳳山區,LA1 甘藍 初秋 ,32.1,15.4,2.8,16.2, + 45,5290.0, - 45,0
110/11/02,220 板橋區,LA1 甘藍 初秋 ,26.0,16.1,7.2,16.3, - 16,22684.0, + 71,0
110/11/02,512 永靖鄉,LA1 甘藍 初秋 ,21.0,13.0,6.0,13.9, +  6,15662.0, - 15,0
110/11/02,800 高雄市,LA1 甘藍 初秋 ,38.1,22.8,11.0,23.5, - 14,28315.0, - 21,0
110/11/02,930 台東市,LA1 甘藍 初秋 ,40.0,25.0,15.0,26.0, - 16,7097.0, - 12,0
110/11/02,338 桃　農,LA1 甘藍 初秋 ,30.7,10.5,5.8,13.6, - 27,10145.0, +  1,0
110/11/02,514 溪湖鎮,LA1 甘藍 初秋 ,23.4,14.7,8.0,15.1, +  8,42990.0, + 68,0
110/11/02,104 台北二,LA1 甘藍 初秋 ,46.7,13.7,8.7,19.3, +  8,33455.0, +  1,0
110/11/02,260 宜蘭市,LA1 甘藍 初秋 ,54.0,21.0,10.0,21.0, +  5,5800.0, -  6,0
110/11/02,400 台中市,LA1 甘藍 初秋 ,21.7,13.5,8.5,13.7, - 44,21192.0, +443,0
110/11/02,109 台北一,LA1 甘藍 初秋 ,53.7,16.4,7.1,22.0, +  1,87431.0, +  1,0
110/11/02,900 屏東市,LA1 甘藍 初秋 ,31.4,24.0,11.0,22.9, + 65,11166.0, -  6,0
110/11/02,540 南投市,LA1 甘藍 初秋 ,40.0,26.0,12.0,25.18, + 15,1249.0, + 97,0
110/11/03,900 屏東市,LA1 甘藍 初秋 ,32.2,20.0,11.1,20.0, - 13,13558.0, + 21,0
110/11/03,104 台北二,LA1 甘藍 初秋 ,40.6,13.2,9.9,18.0, -  7,37843.0, + 13,0
110/11/03,400 台中市,LA1 甘藍 初秋 ,21.0,11.8,5.5,14.2, +  4,5247.0, - 75,0
110/11/03,540 南投市,LA1 甘藍 初秋 ,30.0,29.0,14.0,28.94, + 15,948.0, - 24,0
110/11/03,420 豐原區,LA1 甘藍 初秋 ,27.2,12.5,7.7,14.46, - 32,7532.0, - 63,0
110/11/03,648 西螺鎮,LA1 甘藍 初秋 ,27.7,16.9,10.7,17.8, -  1,196990.0, +  8,0
110/11/03,109 台北一,LA1 甘藍 初秋 ,45.4,17.2,8.3,21.0, -  5,79097.0, - 10,0
110/11/03,830 鳳山區,LA1 甘藍 初秋 ,32.3,16.8,11.0,18.8, + 16,4630.0, - 12,0
110/11/03,241 三重區,LA1 甘藍 初秋 ,17.8,12.5,5.1,12.1, +  3,12108.0, - 33,0
110/11/03,338 桃　農,LA1 甘藍 初秋 ,22.5,9.3,4.6,11.0, - 19,12620.0, + 24,0
110/11/03,514 溪湖鎮,LA1 甘藍 初秋 ,21.7,14.3,8.3,14.6, -  3,26392.0, - 39,0
110/11/03,260 宜蘭市,LA1 甘藍 初秋 ,44.0,21.0,8.0,21.0,    0,6200.0, +  7,0
110/11/03,512 永靖鄉,LA1 甘藍 初秋 ,21.0,13.0,6.0,13.1, -  6,12723.0, - 19,0
110/11/03,800 高雄市,LA1 甘藍 初秋 ,37.6,20.2,7.9,21.2, - 10,31137.0, + 10,0
110/11/03,930 台東市,LA1 甘藍 初秋 ,40.0,25.0,15.0,26.0,    0,5918.0, - 17,0
110/11/03,220 板橋區,LA1 甘藍 初秋 ,44.2,19.6,13.4,23.3, + 43,17864.0, - 21,0
110/11/04,648 西螺鎮,LA1 甘藍 初秋 ,26.2,16.0,10.2,16.9, -  5,175224.0, - 11,0
110/11/04,900 屏東市,LA1 甘藍 初秋 ,31.1,17.4,8.8,17.4, - 13,15642.0, + 15,0
110/11/04,540 南投市,LA1 甘藍 初秋 ,28.0,21.0,14.0,20.0, - 31,1181.0, + 25,0
110/11/04,338 桃　農,LA1 甘藍 初秋 ,18.6,8.4,4.1,9.6, - 13,14940.0, + 18,0
110/11/04,260 宜蘭市,LA1 甘藍 初秋 ,40.0,20.0,10.0,20.0, -  5,4200.0, - 32,0
