日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
107/11/04,514 溪湖鎮,LA1 甘藍 初秋 ,21.7,14.7,9.9,15.1, -  6,23320.0, - 21,0
107/11/04,930 台東市,LA1 甘藍 初秋 ,36.0,28.0,15.0,20.0, +  5,6902.0, + 73,0
107/11/04,220 板橋區,LA1 甘藍 初秋 ,20.8,13.7,7.2,13.8, - 28,19942.0, + 18,0
107/11/04,338 桃　農,LA1 甘藍 初秋 ,22.0,20.7,20.0,20.8, - 13,1350.0, - 10,0
107/11/04,540 南投市,LA1 甘藍 初秋 ,35.0,16.0,6.0,15.06, - 20,2532.0, + 39,0
107/11/04,400 台中市,LA1 甘藍 初秋 ,16.9,11.8,8.2,12.1, -  6,16477.0, + 88,0
107/11/04,800 高雄市,LA1 甘藍 初秋 ,25.9,16.8,9.1,17.1,    0,45656.0, - 14,0
107/11/04,109 台北一,LA1 甘藍 初秋 ,29.5,13.9,10.3,16.3, +  4,98851.0, +  7,0
107/11/04,900 屏東市,LA1 甘藍 初秋 ,18.8,14.1,8.7,14.0, -  7,32022.0, -  8,0
107/11/04,830 鳳山區,LA1 甘藍 初秋 ,17.6,12.5,7.9,12.6, - 15,10980.0, +  8,0
107/11/05,512 永靖鄉,LA1 甘藍 初秋 ,22.0,15.0,12.0,15.4, -  2,9714.0, +110,0
107/11/05,950 花蓮市,LA1 甘藍 初秋 ,23.7,13.3,6.2,13.9, -  9,3690.5, - 28,0
107/11/05,514 溪湖鎮,LA1 甘藍 初秋 ,24.0,15.1,9.8,15.8, +  5,15757.0, - 32,0
107/11/05,648 西螺鎮,LA1 甘藍 初秋 ,21.5,16.4,8.2,15.8, - 12,226972.0, + 10,0
107/11/06,950 花蓮市,LA1 甘藍 初秋 ,14.6,11.4,7.6,11.3, - 19,3242.0, - 12,0
107/11/06,420 豐原區,LA1 甘藍 初秋 ,20.0,16.9,8.4,15.79, + 10,17870.0, + 65,0
107/11/06,800 高雄市,LA1 甘藍 初秋 ,25.7,17.0,7.0,16.7, -  2,54287.0, + 19,0
107/11/06,514 溪湖鎮,LA1 甘藍 初秋 ,20.0,14.7,10.0,14.8, -  6,37560.0, +138,0
107/11/06,241 三重區,LA1 甘藍 初秋 ,18.4,8.9,5.9,10.2, +  9,17220.0, +  5,0
107/11/06,540 南投市,LA1 甘藍 初秋 ,13.0,10.0,5.5,9.32, - 38,2859.0, + 13,0
107/11/06,512 永靖鄉,LA1 甘藍 初秋 ,20.0,15.0,10.0,15.0, -  3,9667.0, -  0,0
107/11/06,109 台北一,LA1 甘藍 初秋 ,23.8,11.2,6.6,12.8, - 21,147325.0, + 49,0
107/11/06,220 板橋區,LA1 甘藍 初秋 ,11.5,3.9,2.0,5.0, - 64,27494.0, + 38,0
107/11/06,830 鳳山區,LA1 甘藍 初秋 ,19.0,10.1,7.0,11.3, - 10,18500.0, + 68,0
107/11/06,260 宜蘭市,LA1 甘藍 初秋 ,20.0,15.0,6.0,15.0, - 25,4250.0, + 10,0
107/11/06,400 台中市,LA1 甘藍 初秋 ,14.7,8.4,5.3,8.6, - 29,24232.0, + 47,0
