日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
113/11/01,34.82142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113/11/02,38.47538461538461,46.892857142857146,,,,,33.357142857142854,,,,,25.442857142857143,,,,,21.450000000000003,,,,,1255.642857142857,,,,,34.82142857142857,,
113/11/03,31.107692307692307,55.19230769230769,,,,,36.09230769230769,,,,,26.62307692307693,,,,,28.569230769230767,,,,,1453.3846153846157,,,,,38.47538461538461,,
113/11/04,29.25,46.22307692307693,,,49.436080586080585,,29.876923076923077,,,33.10879120879121,,20.023076923076925,,,24.029670329670335,,26.2,,,25.406410256410254,,1510.6153846153843,,,1406.547619047619,,31.107692307692307,,
113/11/05,31.50692307692308,39.9,,,47.10512820512821,,28.95,,,31.63974358974359,,17.5,,,21.382051282051282,,22.4,,,25.72307692307692,,4874.0,,,2612.6666666666665,,29.25,,
113/11/06,33.17384615384616,49.16153846153846,,,45.0948717948718,,30.03076923076923,,,29.619230769230768,,17.476923076923075,,,18.333333333333332,,31.684615384615388,,,26.76153846153846,,1967.3076923076924,,,2783.974358974359,,31.50692307692308,,
113/11/07,44.82071428571429,47.08461538461539,,,45.382051282051286,,32.215384615384615,,,30.398717948717948,,21.82307692307692,,,18.93333333333333,,25.261538461538468,,,26.448717948717952,,1572.1538461538462,,,2804.4871794871797,,33.17384615384616,,
113/11/08,50.16307692307692,60.885714285714286,46.892857142857146,,52.37728937728938,49.33430141287284,43.24285714285714,33.357142857142854,,35.16300366300366,33.395054945054945,31.957142857142856,25.442857142857143,,23.75238095238095,22.978021978021978,28.92857142857143,21.450000000000003,,28.624908424908426,26.356279434850865,1240.0,1255.642857142857,,1593.1538461538464,1981.8720565149138,44.82071428571429,34.82142857142857,
113/11/09,52.58923076923077,62.638461538461534,55.19230769230769,,56.86959706959707,51.583673469387755,49.23076923076923,36.09230769230769,,41.56300366300366,35.662715855573,38.90769230769231,26.62307692307693,,30.895970695970693,24.901569858712715,23.730769230769223,28.569230769230767,,25.973626373626374,26.682103610675036,1304.1384615384616,1453.3846153846157,,1372.097435897436,1988.8,50.16307692307692,38.47538461538461,
113/11/10,50.77,65.07692307692308,46.22307692307693,,62.86703296703297,52.99576138147567,51.99230769230769,29.876923076923077,,48.15531135531135,37.93414442700157,40.98461538461538,20.023076923076925,,37.283150183150184,26.953218210361065,24.0923076923077,26.2,,25.583882783882785,26.042543171114602,1224.676923076923,1510.6153846153843,,1256.2717948717948,1956.1274725274725,52.58923076923077,31.107692307692307,
113/11/11,45.35,66.125,39.9,,64.61346153846154,55.838893249607544,50.49166666666667,28.95,,50.5715811965812,40.87910779696494,35.541666666666664,17.5,,38.47799145299145,29.170159602302455,30.583333333333336,22.4,,26.135470085470086,26.66873364730508,1334.4166666666667,4874.0,,1287.7440170940172,1930.9562271062273,50.77,29.25,
113/11/12,44.410714285714285,56.25,49.16153846153846,,62.483974358974365,58.17460753532183,45.85,30.03076923076923,,49.44465811965812,43.293393511250656,30.0,17.476923076923075,,35.50876068376068,30.955873888016743,26.25,31.684615384615388,,26.975213675213677,27.218733647305076,2665.0,1967.3076923076924,,1741.36452991453,1615.3847985347986,45.35,31.50692307692308,
113/11/13,37.23428571428571,61.0,47.08461538461539,,61.125,59.86581632653061,42.77857142857143,32.215384615384615,,46.3734126984127,45.11450811093668,30.571428571428573,21.82307692307692,,32.03769841269841,32.82651753008896,30.428571428571427,25.261538461538468,,29.087301587301585,27.039298796441653,2111.2214285714285,1572.1538461538462,,2036.879365079365,1635.9439037153322,44.410714285714285,33.17384615384616,
113/11/14,37.76,52.957142857142856,60.885714285714286,,56.73571428571429,60.70474882260596,36.16428571428572,43.24285714285714,,41.59761904761905,45.67863683935112,24.15,31.957142857142856,,28.24047619047619,33.15893511250654,28.807142857142853,28.92857142857143,,28.495238095238093,27.545813710099424,2416.0714285714284,1240.0,,2397.430952380952,1756.5035583464155,37.23428571428571,44.82071428571429,
113/11/15,36.54307692307693,53.67142857142857,62.638461538461534,46.892857142857146,55.87619047619048,59.674136577708005,36.92857142857143,49.23076923076923,33.357142857142854,38.62380952380953,44.776596023024595,24.12857142857143,38.90769230769231,25.442857142857143,26.28333333333333,32.040567765567765,29.54285714285714,23.730769230769223,21.450000000000003,29.59285714285714,27.633568812140243,1795.1142857142856,1304.1384615384616,1255.642857142857,2107.4690476190476,1835.805599162742,37.76,50.16307692307692,34.82142857142857
113/11/16,34.985,50.138461538461534,65.07692307692308,55.19230769230769,52.25567765567765,57.88842229199372,35.2,51.99230769230769,36.09230769230769,36.097619047619055,42.77220041862899,25.746153846153845,40.98461538461538,26.62307692307693,24.674908424908427,30.160347985347983,24.39230769230769,24.0923076923077,28.569230769230767,27.58076923076923,27.728074306645738,1946.076923076923,1224.676923076923,1453.3846153846157,2052.420879120879,1927.5110936682363,36.54307692307693,52.58923076923077,38.47538461538461
113/11/17,37.935833333333335,48.67857142857143,66.125,46.22307692307693,50.82948717948718,55.545800627943485,34.892857142857146,50.49166666666667,29.876923076923077,35.673809523809524,40.32942176870749,20.807142857142857,35.541666666666664,20.023076923076925,23.56062271062271,27.27785190999477,27.871428571428574,30.583333333333336,26.2,27.268864468864468,28.267948717948716,1846.935714285714,1334.4166666666667,1510.6153846153843,1862.7089743589743,2016.405206698064,34.985,50.77,31.107692307692307
