日期,價格(元/公斤),價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7,氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmean_7d,最低氣溫(℃)_rollmin_7d,降水量(mm)_rollsum_7d,日照時數(hour)_rollmean_7d,相對溼度(%)_rollmean_7d,最大陣風(m/s)_rollmax_7d,is_cold_wave,is_strong_cold,is_frost_risk,is_heavy_rain,is_strong_wind,consecutive_rainy_days,month_sin,month_cos,is_winter
107/12/26,17.375714285714285,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
107/12/27,17.13714285714286,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
107/12/28,16.44214285714286,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
107/12/29,16.784285714285712,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
107/12/30,18.284166666666668,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
107/12/31,16.7,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,1.0
108/01/01,19.37142857142857,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/02,18.659333333333333,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/03,16.02,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/04,18.04866666666667,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/05,15.940714285714288,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/06,14.6025,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/07,16.25,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/08,13.813076923076922,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/09,14.442666666666666,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/10,12.028571428571428,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/11,13.233571428571429,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/12,12.684285714285712,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/13,13.264166666666666,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
108/01/14,16.099999999999998,,,,,,,,,,,,,,,,,,,0.4999999999999999,0.8660254037844387,1.0
