日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
110/11/01,648 西螺鎮,LL1 茼蒿  ,130.0,105.0,70.0,103.0, -  1,1210.0, + 15,0
110/11/02,648 西螺鎮,LL1 茼蒿  ,120.0,99.6,60.0,95.8, -  7,1460.0, + 21,0
110/11/02,220 板橋區,LL1 茼蒿  ,102.5,100.0,84.9,97.5, +  6,900.0, +114,0
110/11/02,109 台北一,LL1 茼蒿  ,140.5,116.4,71.3,112.2, -  1,1370.0, + 47,0
110/11/02,830 鳳山區,LL1 茼蒿  ,88.4,39.9,28.4,47.3, + 15,570.0, +  8,0
110/11/02,400 台中市,LL1 茼蒿  ,80.0,67.3,39.0,65.0, - 28,160.0, -  6,0
110/11/02,104 台北二,LL1 茼蒿  ,147.3,99.6,77.4,104.7, -  2,565.0, +  7,0
110/11/02,800 高雄市,LL1 茼蒿  ,141.9,126.4,80.0,120.2, - 20,139.0, +363,0
110/11/02,900 屏東市,LL1 茼蒿  ,100.0,99.8,86.7,97.2, -  9,180.0, - 25,0
110/11/02,241 三重區,LL1 茼蒿  ,94.6,76.5,38.7,72.6, -  5,90.0, - 48,0
110/11/02,338 桃　農,LL1 茼蒿  ,116.5,92.9,85.0,96.0, -  9,330.0, +106,0
110/11/03,830 鳳山區,LL1 茼蒿  ,97.4,42.7,28.1,50.7, +  7,560.0, -  2,0
110/11/03,220 板橋區,LL1 茼蒿  ,100.0,96.8,75.8,93.2, -  4,471.0, - 48,0
110/11/03,400 台中市,LL1 茼蒿  ,108.0,105.5,103.0,105.5, + 62,40.0, - 75,0
110/11/03,109 台北一,LL1 茼蒿  ,138.7,112.6,64.8,108.3, -  3,1059.0, - 23,0
110/11/03,648 西螺鎮,LL1 茼蒿  ,120.0,100.0,60.0,96.0, +  0,1510.0, +  3,0
110/11/03,338 桃　農,LL1 茼蒿  ,120.0,114.3,80.0,108.6, + 13,70.0, - 79,0
110/11/03,800 高雄市,LL1 茼蒿  ,117.3,91.6,61.5,90.7, - 25,108.0, - 22,0
110/11/03,900 屏東市,LL1 茼蒿  ,92.5,73.2,64.0,73.2, - 25,200.0, + 11,0
110/11/03,104 台北二,LL1 茼蒿  ,125.0,97.2,63.5,96.0, -  8,410.0, - 27,0
110/11/03,241 三重區,LL1 茼蒿  ,120.0,78.0,20.0,74.8, +  3,190.0, +111,0
110/11/04,648 西螺鎮,LL1 茼蒿  ,100.0,79.8,50.0,77.9, - 19,1790.0, + 19,0
110/11/04,400 台中市,LL1 茼蒿  ,108.0,40.0,30.0,45.7, - 57,200.0, +400,0
110/11/04,900 屏東市,LL1 茼蒿  ,82.8,41.2,15.0,41.2, - 44,338.0, + 69,0
110/11/04,220 板橋區,LL1 茼蒿  ,97.6,87.6,21.0,76.3, - 18,464.0, -  1,0
