日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
107/11/01,31.051666666666666,44.5,31.53333333333333,15.158333333333333,2983.4166666666665,29.34166666666667
107/11/02,28.929999999999996,42.875,29.21666666666667,14.258333333333333,3089.4166666666665,28.616666666666667
107/11/03,29.35909090909091,43.77272727272727,29.318181818181817,16.036363636363635,3430.7272727272725,27.736363636363638
107/11/04,28.843,42.269999999999996,29.380000000000003,14.720000000000002,2841.5,27.549999999999994
107/11/05,36.2,50.0,39.8,20.0,12172.0,30.0
107/11/06,30.19333333333333,43.31666666666666,30.816666666666666,16.116666666666667,3670.8333333333335,27.199999999999996
107/11/07,25.586666666666662,40.733333333333334,25.375,10.633333333333333,3973.75,30.1
107/11/08,24.154545454545453,38.63636363636363,23.80909090909091,10.663636363636364,3763.818181818182,27.97272727272727
107/11/09,20.765833333333333,34.266666666666666,20.766666666666666,8.674999999999999,3943.6666666666665,25.59166666666667
107/11/10,22.762727272727272,35.95454545454545,23.036363636363635,10.636363636363637,4101.090909090909,25.318181818181817
107/11/11,21.213,33.45,20.64,11.11,2912.5,22.340000000000003
107/11/12,31.5,39.8,33.3,16.7,12498.0,23.099999999999998
107/11/13,23.935000000000002,35.11666666666667,23.875,12.266666666666666,3806.1666666666665,22.85
107/11/14,22.126666666666665,34.13333333333333,22.05,9.7,3856.0,24.433333333333334
107/11/15,21.495,34.65,20.975,9.391666666666667,3696.6666666666665,25.258333333333333
107/11/16,21.615,34.30833333333333,21.075,9.966666666666667,3654.4166666666665,24.34166666666666
107/11/17,22.175833333333333,34.55833333333333,21.866666666666664,9.966666666666667,3810.6666666666665,24.59166666666666
107/11/18,20.621000000000002,34.12,19.5,9.190000000000001,2497.4,24.929999999999996
107/11/19,30.8,39.8,32.1,16.7,14236.0,23.099999999999998
107/11/20,24.623333333333335,36.074999999999996,24.691666666666666,12.583333333333334,3516.1666666666665,23.49166666666666
107/11/21,24.85307692307692,34.723076923076924,25.207692307692305,13.538461538461538,3011.153846153846,21.184615384615384
107/11/22,25.8,35.69166666666667,25.766666666666666,15.416666666666666,2952.8333333333335,20.275000000000006
107/11/23,26.455384615384617,36.08461538461539,26.700000000000003,15.86923076923077,2554.846153846154,20.21538461538462
107/11/24,28.044545454545457,38.163636363636364,28.754545454545454,15.30909090909091,3345.6363636363635,22.854545454545452
107/11/25,27.979000000000003,38.37,28.360000000000003,16.91,2205.2,21.459999999999997
107/11/26,28.15,32.5,29.0,20.85,5908.0,11.649999999999999
107/11/27,28.536923076923078,38.261538461538464,28.638461538461538,17.992307692307694,2930.730769230769,20.26923076923077
107/11/28,27.4075,38.708333333333336,27.724999999999998,15.566666666666668,3222.4166666666665,23.141666666666666
107/11/29,27.976923076923075,37.86153846153846,28.10769230769231,17.446153846153848,2994.0,20.41538461538461
107/11/30,24.573076923076922,35.323076923076925,25.053846153846152,12.73076923076923,3476.5384615384614,22.592307692307696
107/12/01,22.868333333333336,33.35,22.333333333333332,11.700000000000001,3985.0833333333335,21.65
107/12/02,21.081,33.93,20.85,9.77,3224.0,24.16
107/12/03,31.2,39.7,32.8,16.7,13003.0,23.000000000000004
107/12/04,24.022499999999997,35.175000000000004,23.733333333333334,13.933333333333332,3726.25,21.241666666666674
107/12/05,20.733076923076922,31.77692307692308,20.292307692307695,10.399999999999999,3842.846153846154,21.37692307692308
107/12/06,20.30333333333333,30.883333333333336,19.925,11.525,3631.6666666666665,19.358333333333334
107/12/07,19.565384615384616,30.346153846153847,19.646153846153847,10.153846153846153,3586.3846153846152,20.192307692307693
107/12/08,19.97,29.978571428571428,19.72142857142857,9.928571428571429,3266.8571428571427,20.049999999999997
107/12/09,20.944,31.78,21.46,10.129999999999999,2984.2,21.650000000000002
107/12/10,28.5,40.0,28.75,15.85,7516.5,24.15
107/12/11,22.745,33.73571428571429,22.75,12.442857142857141,3138.6785714285716,21.292857142857144
107/12/12,21.285,32.75,20.814285714285713,8.628571428571428,3503.4285714285716,24.121428571428574
107/12/13,20.763846153846153,33.06923076923077,20.053846153846152,9.3,3421.0,23.76923076923077
107/12/14,22.212857142857143,31.814285714285713,21.49285714285714,11.264285714285714,3064.8571428571427,20.549999999999997
107/12/15,23.0525,33.975,22.941666666666666,11.616666666666667,3389.0,22.358333333333334
107/12/16,22.111818181818183,33.872727272727275,21.854545454545455,11.509090909090908,2427.181818181818,22.363636363636367
107/12/17,29.8,36.6,31.46666666666667,20.233333333333334,4475.0,16.366666666666667
107/12/18,24.640833333333333,35.291666666666664,25.083333333333332,13.6,3242.3333333333335,21.691666666666663
107/12/19,25.166153846153847,36.96153846153846,25.515384615384615,14.476923076923075,2907.076923076923,22.484615384615385
107/12/20,25.928461538461537,36.63076923076923,25.615384615384617,14.807692307692308,3118.4615384615386,21.823076923076925
107/12/21,28.463076923076922,40.0923076923077,28.423076923076923,15.899999999999999,3681.076923076923,24.1923076923077
107/12/22,27.569999999999997,39.6,27.575,15.85,4378.333333333333,23.75
107/12/23,26.874000000000002,39.730000000000004,26.93,14.529999999999998,2528.0,25.200000000000006
107/12/24,30.766666666666666,37.233333333333334,31.266666666666666,22.133333333333336,4417.333333333333,15.099999999999998
107/12/25,24.56142857142857,35.371428571428574,24.564285714285713,14.62142857142857,3063.285714285714,20.750000000000004
107/12/26,21.91,34.824999999999996,21.816666666666666,10.908333333333333,3300.6666666666665,23.916666666666664
107/12/27,20.521428571428572,32.135714285714286,19.707142857142856,9.450000000000001,3029.3571428571427,22.685714285714283
107/12/28,20.61230769230769,33.55384615384615,20.200000000000003,8.415384615384614,3149.3076923076924,25.138461538461538
107/12/29,21.726428571428574,32.92857142857143,22.064285714285713,10.528571428571428,2938.3571428571427,22.400000000000002
107/12/30,23.333636363636366,33.40909090909091,23.863636363636363,11.054545454545455,2109.090909090909,22.354545454545452
107/12/31,29.6,39.75,30.15,16.85,5610.5,22.9
108/01/01,27.99142857142857,37.59285714285714,28.62857142857143,17.342857142857145,2633.6428571428573,20.249999999999996
108/01/02,27.379285714285714,36.83571428571429,28.314285714285713,16.864285714285714,2496.8571428571427,19.971428571428575
108/01/03,25.947857142857142,36.0,25.74285714285714,15.721428571428572,2412.3571428571427,20.27857142857143
108/01/04,25.935714285714287,36.56428571428571,26.328571428571426,13.799999999999999,2461.1428571428573,22.764285714285712
108/01/05,26.483846153846155,38.892307692307696,26.83076923076923,13.8,2983.0,25.092307692307696
108/01/06,25.036363636363635,36.800000000000004,25.30909090909091,14.672727272727274,2145.5454545454545,22.127272727272732
108/01/07,26.46666666666667,33.56666666666667,27.23333333333333,16.266666666666666,3815.6666666666665,17.300000000000004
108/01/08,26.78153846153846,37.07692307692308,27.16923076923077,15.292307692307693,2986.923076923077,21.784615384615385
108/01/09,25.318571428571428,35.285714285714285,25.692857142857143,14.192857142857141,2664.5,21.09285714285714
108/01/10,25.532307692307693,36.853846153846156,26.03846153846154,12.899999999999999,3036.769230769231,23.953846153846158
108/01/11,25.246153846153845,36.107692307692304,25.338461538461537,13.646153846153847,2631.3846153846152,22.461538461538456
108/01/12,26.41142857142857,35.40714285714286,26.942857142857143,15.257142857142856,2591.4285714285716,20.150000000000002
108/01/13,27.345454545454547,36.21818181818182,28.2,17.400000000000002,2017.090909090909,18.818181818181817
108/01/14,25.566666666666666,33.6,25.8,16.233333333333334,3762.0,17.366666666666667
108/01/15,29.926153846153845,38.753846153846155,30.56153846153846,18.661538461538463,2701.923076923077,20.092307692307692
108/01/16,30.026153846153843,38.99230769230769,29.676923076923078,20.200000000000003,2751.923076923077,18.792307692307688
108/01/17,28.22230769230769,37.08461538461539,28.376923076923074,18.638461538461538,2802.0,18.44615384615385
108/01/18,29.072307692307692,37.56923076923077,29.576923076923077,18.338461538461537,2671.846153846154,19.230769230769234
108/01/19,28.092307692307692,37.169230769230765,28.26153846153846,17.292307692307695,2932.0,19.87692307692307
