日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
111/11/01,55.57692307692308,65.86923076923077,55.715384615384615,44.13076923076923,2378.8076923076924,21.738461538461536
111/11/02,54.41538461538461,64.16153846153847,54.23076923076923,44.4076923076923,2285.423076923077,19.75384615384617
111/11/03,51.775,61.81666666666666,51.68333333333334,41.925000000000004,2395.25,19.89166666666666
111/11/04,51.800000000000004,62.46666666666667,51.35833333333333,42.55833333333333,2438.9166666666665,19.90833333333334
111/11/05,51.25833333333333,62.46666666666667,50.925000000000004,40.84166666666667,2614.5833333333335,21.625
111/11/06,53.872727272727275,62.54545454545455,54.01818181818182,44.127272727272725,1786.1818181818182,18.41818181818182
111/11/07,47.25,66.7,46.6,30.0,4813.5,36.7
111/11/08,53.07272727272727,64.73636363636363,52.66363636363636,42.800000000000004,2475.3636363636365,21.93636363636363
111/11/09,53.45454545454545,63.627272727272725,53.28181818181818,44.23636363636364,2254.909090909091,19.390909090909084
111/11/10,53.90909090909091,65.08181818181818,53.81818181818182,43.872727272727275,2066.3636363636365,21.209090909090904
111/11/11,50.699999999999996,60.71666666666667,50.19166666666666,40.516666666666666,2378.75,20.200000000000003
111/11/12,49.041666666666664,60.175000000000004,49.4,35.775,2753.5,24.400000000000006
111/11/13,50.16363636363636,61.86363636363637,50.46363636363637,38.300000000000004,1893.3636363636363,23.563636363636363
111/11/14,46.05,63.35,45.7,30.0,4890.0,33.35
111/11/15,53.583333333333336,65.19166666666666,54.074999999999996,39.88333333333333,2285.3333333333335,25.30833333333333
111/11/16,54.18333333333334,66.08333333333333,54.625,40.24166666666667,2319.75,25.84166666666666
111/11/17,51.98,63.9,52.54,37.6,2314.0,26.299999999999997
111/11/18,53.916666666666664,66.00833333333334,54.300000000000004,40.03333333333333,2405.3333333333335,25.97500000000001
111/11/19,55.300000000000004,65.95833333333333,55.89166666666667,41.65,2173.8333333333335,24.30833333333333
111/11/20,56.46,66.64,56.75,45.42,1636.8,21.22
111/11/21,46.5,63.5,46.3,30.0,4733.5,33.5
111/11/22,51.88333333333333,63.24166666666667,51.85833333333333,39.199999999999996,2763.0833333333335,24.04166666666667
111/11/23,50.099999999999994,60.06153846153846,50.25384615384616,38.353846153846156,2284.423076923077,21.707692307692305
111/11/24,46.35,57.64166666666667,46.375,35.125,2229.9166666666665,22.516666666666673
111/11/25,42.416666666666664,55.35,42.141666666666666,30.133333333333336,2500.3333333333335,25.216666666666665
111/11/26,46.925000000000004,59.5,47.18333333333334,34.36666666666667,2543.5,25.133333333333333
111/11/27,49.48181818181818,61.8,49.27272727272727,36.08181818181818,2008.909090909091,25.71818181818182
111/11/28,46.849999999999994,63.4,47.05,30.0,4082.0,33.4
111/11/29,51.7,62.445454545454545,51.59090909090909,41.58181818181818,2618.818181818182,20.863636363636367
111/11/30,52.472727272727276,62.03636363636363,52.95454545454545,41.68181818181818,2591.6363636363635,20.354545454545452
111/12/01,50.88461538461539,61.57692307692308,50.53846153846154,40.98461538461538,2152.6153846153848,20.5923076923077
111/12/02,47.61538461538461,58.55384615384616,47.33846153846154,37.65384615384615,2315.846153846154,20.900000000000006
111/12/03,50.550000000000004,61.708333333333336,50.28333333333333,40.475,2512.6833333333334,21.233333333333334
111/12/04,53.33,63.260000000000005,53.25,44.089999999999996,1743.3,19.17000000000001
111/12/05,46.45,63.45,46.15,30.0,4375.5,33.45
111/12/06,54.85833333333333,65.88333333333334,54.050000000000004,46.03333333333333,2442.3333333333335,19.85000000000001
111/12/07,54.708333333333336,65.60000000000001,54.75833333333333,42.608333333333334,2428.1666666666665,22.991666666666674
111/12/08,54.28333333333333,65.26666666666667,54.24166666666667,42.99166666666667,2399.25,22.275
111/12/09,53.73333333333333,64.58333333333333,54.0,41.81666666666667,2413.75,22.76666666666666
111/12/10,52.45384615384615,62.07692307692308,52.8,41.56153846153846,2355.846153846154,20.51538461538462
111/12/11,52.760000000000005,63.95,52.6,41.86,2013.5,22.090000000000003
111/12/12,51.5,62.666666666666664,51.53333333333333,40.333333333333336,3007.6666666666665,22.33333333333333
111/12/13,54.0,65.32307692307693,54.55384615384616,39.9076923076923,2696.076923076923,25.415384615384625
111/12/14,54.44615384615384,65.53846153846153,54.93076923076923,41.54615384615385,2449.153846153846,23.992307692307683
111/12/15,56.11666666666667,65.28333333333333,56.61666666666667,45.666666666666664,1912.5,19.616666666666667
