日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
112/11/01,47.59045454545455,69.10000000000001,47.85,27.58181818181818,2181.590909090909,41.51818181818183
112/11/02,45.902727272727276,61.74545454545455,45.91818181818182,30.30909090909091,1798.2727272727273,31.43636363636364
112/11/03,44.69590909090909,60.79545454545455,45.57272727272727,28.254545454545454,1914.3181818181818,32.540909090909096
112/11/04,42.64681818181818,60.50454545454546,42.61363636363637,26.586363636363636,2411.318181818182,33.91818181818182
112/11/05,45.46619047619048,65.1952380952381,45.05238095238095,27.704761904761902,2021.095238095238,37.490476190476194
112/11/06,61.4,79.2,64.2,40.0,6386.0,39.2
112/11/07,48.565238095238094,68.54285714285714,48.81904761904762,30.04285714285714,2265.5714285714284,38.5
112/11/08,46.43,67.22999999999999,46.6,27.895,2414.4,39.334999999999994
112/11/09,43.63809523809524,62.166666666666664,43.304761904761904,25.714285714285715,2063.352380952381,36.45238095238095
112/11/10,43.44681818181818,63.790909090909096,42.92727272727273,25.863636363636363,1896.8181818181818,37.92727272727274
112/11/11,45.260000000000005,66.66499999999999,45.255,25.365000000000002,2166.6,41.29999999999999
112/11/12,51.85,70.395,51.589999999999996,34.265,1581.85,36.129999999999995
112/11/13,55.75,64.95,56.15,45.0,5519.5,19.950000000000003
112/11/14,55.00454545454545,69.95454545454545,55.209090909090904,39.04545454545455,2117.818181818182,30.909090909090907
112/11/15,56.04545454545455,71.31363636363636,56.08636363636364,41.11363636363637,2167.4,30.199999999999996
112/11/16,55.44285714285714,68.35714285714286,56.800000000000004,38.48571428571428,2171.714285714286,29.87142857142858
112/11/17,48.04217391304348,63.31304347826087,48.01739130434783,33.2,3046.521739130435,30.11304347826087
112/11/18,45.45454545454545,59.91363636363636,45.85454545454545,30.41818181818182,2728.681818181818,29.495454545454535
112/11/19,45.144999999999996,59.745000000000005,45.230000000000004,30.75,2497.1,28.995000000000005
112/11/20,47.3,65.0,47.1,30.0,12534.0,35.0
112/11/21,48.851904761904756,63.161904761904765,48.75714285714285,34.50476190476191,3106.4666666666667,28.65714285714286
112/11/22,42.52857142857143,55.31904761904762,42.84761904761905,29.785714285714285,3292.1428571428573,25.53333333333334
112/11/23,38.054545454545455,49.61363636363637,38.33181818181818,26.427272727272726,3099.2636363636366,23.18636363636364
112/11/24,37.73130434782609,47.4695652173913,37.86521739130435,27.61304347826087,3611.217391304348,19.85652173913043
112/11/25,36.083636363636366,45.65909090909091,36.095454545454544,26.318181818181817,3871.159090909091,19.34090909090909
112/11/26,36.76111111111111,45.86666666666667,37.00555555555556,27.255555555555556,4419.5,18.61111111111111
112/11/27,51.05,56.15,51.7,43.0,7909.75,13.149999999999999
112/11/28,32.844545454545454,43.41818181818182,32.85909090909091,22.386363636363637,5032.931818181818,21.031818181818185
112/11/29,26.589999999999996,38.58,26.135,16.380000000000003,5424.665,22.199999999999996
112/11/30,22.575,34.42,21.965,12.934999999999999,5705.15,21.485000000000003
112/12/01,21.99913043478261,30.847826086956523,22.121739130434783,13.691304347826087,4842.108695652174,17.156521739130437
112/12/02,24.991,34.155,25.195,15.605,5367.575,18.55
112/12/03,24.926190476190477,33.48571428571429,25.033333333333335,16.65714285714286,3905.2761904761905,16.82857142857143
112/12/04,24.3,34.95,23.85,15.0,14165.0,19.950000000000003
112/12/05,25.049545454545456,34.21363636363637,24.827272727272728,18.022727272727273,5267.672727272728,16.190909090909095
112/12/06,26.470416666666665,35.1875,26.3875,18.525000000000002,5211.979166666667,16.662499999999998
112/12/07,30.67625,39.3625,30.4625,23.1125,4079.1875,16.249999999999996
112/12/08,24.136363636363637,33.23636363636364,24.15,15.640909090909092,6346.522727272727,17.59545454545455
112/12/09,25.385714285714286,34.96666666666666,25.676190476190477,15.59047619047619,5491.880952380952,19.376190476190473
112/12/10,25.60142857142857,34.30952380952381,25.75238095238095,16.557142857142857,3855.4761904761904,17.752380952380953
112/12/11,22.599999999999998,30.0,22.433333333333334,15.6,11427.833333333334,14.4
112/12/12,26.463636363636365,33.96818181818182,26.645454545454548,18.686363636363637,4724.522727272727,15.281818181818181
112/12/13,26.12608695652174,34.62173913043478,26.286956521739132,17.26086956521739,4516.05652173913,17.360869565217392
112/12/14,25.54090909090909,34.22272727272727,25.981818181818184,15.827272727272726,4150.522727272727,18.39545454545454
112/12/15,25.04,35.045,24.884999999999998,16.009999999999998,5080.3,19.035000000000004
112/12/16,27.545238095238098,36.79047619047619,27.43809523809524,18.3,5052.333333333333,18.49047619047619
112/12/17,24.38421052631579,34.247368421052634,24.58421052631579,14.878947368421052,4651.105263157895,19.368421052631582
112/12/18,23.55,33.95,22.95,15.0,17874.0,18.950000000000003
112/12/19,25.625,35.735,25.695,16.240000000000002,5966.7,19.494999999999997
112/12/20,25.655,33.725,25.905,16.669999999999998,5324.3150000000005,17.055000000000003
112/12/21,28.910526315789472,36.242105263157896,29.068421052631578,21.33157894736842,4371.815789473684,14.910526315789475
112/12/22,29.3,36.77368421052632,29.7,21.073684210526313,4437.526315789473,15.700000000000006
112/12/23,32.00526315789474,40.17368421052631,32.26315789473684,23.33157894736842,3949.1052631578946,16.84210526315789
112/12/24,32.42631578947368,40.61578947368421,32.6578947368421,23.573684210526313,3425.3684210526317,17.042105263157897
112/12/25,38.56666666666666,46.333333333333336,38.93333333333333,29.8,8478.666666666666,16.533333333333335
112/12/26,34.3,44.91904761904762,34.31904761904762,23.58095238095238,4468.523809523809,21.33809523809524
112/12/27,32.85909090909091,41.70454545454545,33.404545454545456,22.613636363636363,4445.404545454545,19.09090909090909
