日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
109/09/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/02,28.5,32.05,24.525,,0.0,,81.25,9.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.524999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/03,29.5,33.675,26.025,,0.0,,80.25,8.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.649999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/04,28.2,33.775,25.5,,3.0,,82.5,8.675,28.733333333333334,29.5,28.2,,,,,,,,,,33.166666666666664,33.775,32.05,,,,,,,,,,25.349999999999998,26.025,24.525,,,,,,,,,,,,,,,,,,,,,,81.33333333333333,82.5,80.25,,,,,,,,,,8.925,9.175,8.675,,,,,,,,,,3.0,,,,,,,,8.274999999999999,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
109/09/05,28.35,32.7,24.575,,0.0,,80.25,8.225000000000001,28.683333333333334,29.5,28.2,,,,,,,,,,33.38333333333333,33.775,32.7,,,,,,,,,,25.366666666666664,26.025,24.575,,,,,,,,,,,,,,,,,,,,,,81.0,82.5,80.25,,,,,,,,,,8.608333333333334,8.925,8.225000000000001,,,,,,,,,,3.0,,,,,,,,8.125000000000004,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/06,27.85,31.675,24.625,,0.0,,78.25,9.325,28.133333333333336,28.35,27.85,,,,,,,,,,32.71666666666667,33.775,31.675,,,,,,,,,,24.900000000000002,25.5,24.575,,,,,,,,,,,,,,,,,,,,,,80.33333333333333,82.5,78.25,,,,,,,,,,8.741666666666667,9.325,8.225000000000001,,,,,,,,,,3.0,,,,,,,,7.050000000000001,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/07,26.375,31.05,22.3,,0.0,,64.5,9.325,27.525000000000002,28.35,26.375,,,,,,,,,,31.808333333333334,32.7,31.05,,,,,,,,,,23.833333333333332,24.625,22.3,,,,,,,,,,,,,,,,,,,,,,74.33333333333333,80.25,64.5,,,,,,,,,,8.958333333333334,9.325,8.225000000000001,,,,,,,,,,0.0,,,,,,,,8.75,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/08,27.2,33.975,21.25,,0.0,,67.25,6.7,27.14166666666667,27.85,26.375,27.99642857142857,29.5,26.375,,,,,,,32.233333333333334,33.975,31.05,32.7,33.975,31.05,,,,,,,22.724999999999998,24.625,21.25,24.114285714285717,26.025,21.25,,,,,,,,,,,,,,,,,,,70.0,78.25,64.5,76.32142857142857,82.5,64.5,,,,,,,8.45,9.325,6.7,8.621428571428572,9.325,6.7,,,,,,,0.0,3.0,,,,,,,12.725000000000001,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/09,28.5,33.025,24.925,,0.0,,74.0,7.2,27.35833333333333,28.5,26.375,27.99642857142857,29.5,26.375,,,,,,,32.68333333333334,33.975,31.05,32.839285714285715,33.975,31.05,,,,,,,22.825,24.925,21.25,24.17142857142857,26.025,21.25,,,,,,,,,,,,,,,,,,,68.58333333333333,74.0,64.5,75.28571428571429,82.5,64.5,,,,,,,7.741666666666667,9.325,6.7,8.339285714285714,9.325,6.7,,,,,,,0.0,3.0,,,,,,,8.099999999999998,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
109/09/10,28.6,33.96666666666667,25.566666666666663,,0.0,,76.75,6.400000000000001,28.099999999999998,28.6,27.2,27.86785714285714,28.6,26.375,,,,,,,33.65555555555556,33.975,33.025,32.88095238095239,33.975,31.05,,,,,,,23.913888888888888,25.566666666666663,21.25,24.10595238095238,25.566666666666663,21.25,,,,,,,,,,,,,,,,,,,72.66666666666667,76.75,67.25,74.78571428571429,82.5,64.5,,,,,,,6.766666666666667,7.2,6.400000000000001,7.978571428571429,9.325,6.400000000000001,,,,,,,0.0,3.0,,,,,,,8.400000000000006,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
