日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
113/09/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/02,29.025,33.75,26.05,,0.0,,77.75,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.699999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/03,29.7,33.6,26.2,,0.0,,78.5,6.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.400000000000002,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/04,30.075000000000003,34.05,26.45,,0.0,,78.75,8.725,29.599999999999998,30.075000000000003,29.025,,,,,,,,,,33.800000000000004,34.05,33.6,,,,,,,,,,26.233333333333334,26.45,26.05,,,,,,,,,,,,,,,,,,,,,,78.33333333333333,78.75,77.75,,,,,,,,,,7.483333333333333,8.725,6.525,,,,,,,,,,0.0,,,,,,,,7.599999999999998,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/05,30.025,33.625,26.0,,0.0,,76.75,6.475,29.933333333333334,30.075000000000003,29.7,,,,,,,,,,33.75833333333333,34.05,33.6,,,,,,,,,,26.21666666666667,26.45,26.0,,,,,,,,,,,,,,,,,,,,,,78.0,78.75,76.75,,,,,,,,,,7.241666666666667,8.725,6.475,,,,,,,,,,0.0,,,,,,,,7.625,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/06,28.5,34.666666666666664,24.933333333333334,,11.75,,83.25,13.666666666666666,29.53333333333333,30.075000000000003,28.5,,,,,,,,,,34.11388888888889,34.666666666666664,33.625,,,,,,,,,,25.79444444444444,26.45,24.933333333333334,,,,,,,,,,,,,,,,,,,,,,79.58333333333333,83.25,76.75,,,,,,,,,,9.622222222222222,13.666666666666666,6.475,,,,,,,,,,11.75,,,,,,,,9.73333333333333,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/07,28.95,34.1,24.975,,0.0,,80.5,6.975,29.15833333333333,30.025,28.5,,,,,,,,,,34.13055555555555,34.666666666666664,33.625,,,,,,,,,,25.302777777777777,26.0,24.933333333333334,,,,,,,,,,,,,,,,,,,,,,80.16666666666667,83.25,76.75,,,,,,,,,,9.03888888888889,13.666666666666666,6.475,,,,,,,,,,11.75,,,,,,,,9.125,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/08,28.45,32.925,24.8,,7.625,,82.5,7.675,28.633333333333336,28.95,28.45,29.24642857142857,30.075000000000003,28.45,,,,,,,33.89722222222222,34.666666666666664,32.925,33.81666666666667,34.666666666666664,32.925,,,,,,,24.902777777777775,24.975,24.8,25.629761904761903,26.45,24.8,,,,,,,,,,,,,,,,,,,82.08333333333333,83.25,80.5,79.71428571428571,83.25,76.75,,,,,,,9.438888888888888,13.666666666666666,6.975,8.177380952380952,13.666666666666666,6.475,,,,,,,19.375,19.375,,,,,,,8.124999999999996,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/09,27.05,31.65,22.95,,48.0,,87.5,10.45,28.150000000000002,28.95,27.05,28.964285714285715,30.075000000000003,27.05,,,,,,,32.891666666666666,34.1,31.65,33.516666666666666,34.666666666666664,31.65,,,,,,,24.241666666666664,24.975,22.95,25.186904761904763,26.45,22.95,,,,,,,,,,,,,,,,,,,83.5,87.5,80.5,81.10714285714286,87.5,76.75,,,,,,,8.366666666666665,10.45,6.975,8.641666666666666,13.666666666666666,6.475,,,,,,,55.625,67.375,,,,,,,8.7,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
113/09/10,26.7,32.65,23.075,,21.25,,87.0,10.35,27.400000000000002,28.45,26.7,28.535714285714285,30.075000000000003,26.7,,,,,,,32.40833333333333,32.925,31.65,33.38095238095238,34.666666666666664,31.65,,,,,,,23.608333333333334,24.8,22.95,24.74047619047619,26.45,22.95,,,,,,,,,,,,,,,,,,,85.66666666666667,87.5,82.5,82.32142857142857,87.5,76.75,,,,,,,9.491666666666667,10.45,7.675,9.188095238095238,13.666666666666666,6.475,,,,,,,76.875,88.625,,,,,,,9.575,0,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
113/09/11,28.125,32.35,24.275,,0.0,,82.5,7.275,27.291666666666668,28.125,26.7,28.257142857142856,30.025,26.7,,,,,,,32.21666666666667,32.65,31.65,33.13809523809523,34.666666666666664,31.65,,,,,,,23.433333333333334,24.275,22.95,24.429761904761907,26.0,22.95,,,,,,,,,,,,,,,,,,,85.66666666666667,87.5,82.5,82.85714285714286,87.5,76.75,,,,,,,9.358333333333333,10.45,7.275,8.980952380952381,13.666666666666666,6.475,,,,,,,69.25,88.625,,,,,,,8.075000000000003,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/12,28.875,33.474999999999994,25.975,,0.0,,80.5,6.6,27.900000000000002,28.875,26.7,28.092857142857145,28.95,26.7,,,,,,,32.824999999999996,33.474999999999994,32.35,33.11666666666667,34.666666666666664,31.65,,,,,,,24.441666666666666,25.975,23.075,24.426190476190477,25.975,22.95,,,,,,,,,,,,,,,,,,,83.33333333333333,87.0,80.5,83.39285714285714,87.5,80.5,,,,,,,8.075000000000001,10.35,6.6,8.998809523809523,13.666666666666666,6.6,,,,,,,21.25,88.625,,,,,,,7.499999999999993,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/13,28.575,31.525,26.3,,0.375,,83.75,6.925,28.524999999999995,28.875,28.125,28.10357142857143,28.95,26.7,,,,,,,32.449999999999996,33.474999999999994,31.525,32.66785714285714,34.1,31.525,,,,,,,25.516666666666666,26.3,24.275,24.621428571428574,26.3,22.95,,,,,,,,,,,,,,,,,,,82.25,83.75,80.5,83.46428571428571,87.5,80.5,,,,,,,6.933333333333334,7.275,6.6,8.035714285714286,10.45,6.6,,,,,,,0.375,77.25,,,,,,,5.224999999999998,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/14,28.525,34.025,24.55,,0.0,,77.75,9.55,28.65833333333333,28.875,28.525,28.04285714285714,28.875,26.7,,,,,,,33.00833333333333,34.025,31.525,32.65714285714286,34.025,31.525,,,,,,,25.608333333333334,26.3,24.55,24.560714285714283,26.3,22.95,,,,,,,,,,,,,,,,,,,80.66666666666667,83.75,77.75,83.07142857142857,87.5,77.75,,,,,,,7.691666666666667,9.55,6.6,8.403571428571428,10.45,6.6,,,,,,,0.375,77.25,,,,,,,9.474999999999998,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/15,25.8,32.075,22.275,,42.75,,85.5,11.75,27.63333333333333,28.575,25.8,27.664285714285715,28.875,25.8,,,,,,,32.541666666666664,34.025,31.525,32.535714285714285,34.025,31.525,,,,,,,24.375,26.3,22.275,24.2,26.3,22.275,,,,,,,,,,,,,,,,,,,82.33333333333333,85.5,77.75,83.5,87.5,77.75,,,,,,,9.408333333333333,11.75,6.925,8.985714285714284,11.75,6.6,,,,,,,43.125,112.375,,,,,,,9.800000000000004,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/16,28.0,34.45,23.025,,0.0,,76.5,6.225,27.441666666666666,28.525,25.8,27.8,28.875,25.8,28.425,30.075000000000003,25.8,,,,33.516666666666666,34.45,32.075,32.93571428571429,34.45,31.525,33.261111111111106,34.666666666666664,31.525,,,,23.28333333333333,24.55,22.275,24.210714285714285,26.3,22.275,24.788888888888888,26.45,22.275,,,,,,,,,,,,,,,,79.91666666666667,85.5,76.5,81.92857142857143,87.0,76.5,81.26666666666667,87.5,76.5,,,,9.175,11.75,6.225,8.382142857142856,11.75,6.225,8.424444444444443,13.666666666666666,6.225,,,,42.75,64.375,131.75,,,,,,11.425000000000004,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/17,28.975,34.025,25.1,,0.0,,79.5,6.075,27.59166666666667,28.975,25.8,28.125,28.975,25.8,28.42166666666667,30.075000000000003,25.8,,,,33.51666666666667,34.45,32.075,33.13214285714286,34.45,31.525,33.279444444444444,34.666666666666664,31.525,,,,23.46666666666667,25.1,22.275,24.5,26.3,22.275,24.725555555555555,26.45,22.275,,,,,,,,,,,,,,,,80.5,85.5,76.5,80.85714285714286,85.5,76.5,81.38333333333334,87.5,76.5,,,,8.016666666666667,11.75,6.075,7.771428571428571,11.75,6.075,8.349444444444444,13.666666666666666,6.075,,,,42.75,43.125,131.75,,,,,,8.924999999999997,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/18,29.85,34.0,26.95,,0.0,,80.25,7.2,28.941666666666666,29.85,28.0,28.37142857142857,29.85,25.8,28.431666666666665,30.075000000000003,25.8,,,,34.15833333333333,34.45,34.0,33.36785714285714,34.45,31.525,33.30611111111111,34.666666666666664,31.525,,,,25.024999999999995,26.95,23.025,24.882142857142856,26.95,22.275,24.775555555555556,26.95,22.275,,,,,,,,,,,,,,,,78.75,80.25,76.5,80.53571428571429,85.5,76.5,81.5,87.5,76.5,,,,6.5,7.2,6.075,7.760714285714286,11.75,6.075,8.394444444444444,13.666666666666666,6.075,,,,0.0,43.125,131.75,,,,,,7.050000000000001,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/19,29.125,32.8,25.025,,0.0,,80.5,6.625,29.316666666666666,29.85,28.975,28.407142857142855,29.85,25.8,28.368333333333332,30.025,25.8,,,,33.60833333333333,34.025,32.8,33.27142857142857,34.45,31.525,33.22277777777778,34.666666666666664,31.525,,,,25.691666666666666,26.95,25.025,24.74642857142857,26.95,22.275,24.680555555555557,26.95,22.275,,,,,,,,,,,,,,,,80.08333333333333,80.5,79.5,80.53571428571429,85.5,76.5,81.61666666666666,87.5,76.5,,,,6.633333333333334,7.2,6.075,7.764285714285713,11.75,6.075,8.254444444444443,13.666666666666666,6.075,,,,0.0,43.125,131.75,,,,,,7.774999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/20,29.15,33.925,25.775,,5.625,,80.5,8.95,29.375,29.85,29.125,28.48928571428571,29.85,25.8,28.310000000000002,29.85,25.8,,,,33.574999999999996,34.0,32.8,33.614285714285714,34.45,32.075,33.242777777777775,34.666666666666664,31.525,,,,25.916666666666668,26.95,25.025,24.671428571428574,26.95,22.275,24.665555555555557,26.95,22.275,,,,,,,,,,,,,,,,80.41666666666667,80.5,80.25,80.07142857142857,85.5,76.5,81.86666666666666,87.5,76.5,,,,7.591666666666668,8.95,6.625,8.053571428571429,11.75,6.075,8.419444444444444,13.666666666666666,6.075,,,,5.625,48.375,137.375,,,,,,8.149999999999999,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/21,27.675,32.9,24.35,,18.625,,87.75,7.324999999999999,28.650000000000002,29.15,27.675,28.367857142857144,29.85,25.8,28.255,29.85,25.8,,,,33.20833333333333,33.925,32.8,33.45357142857143,34.45,32.075,33.125,34.45,31.525,,,,25.05,25.775,24.35,24.642857142857142,26.95,22.275,24.626666666666665,26.95,22.275,,,,,,,,,,,,,,,,82.91666666666667,87.75,80.5,81.5,87.75,76.5,82.16666666666667,87.75,76.5,,,,7.633333333333333,8.95,6.625,7.735714285714287,11.75,6.075,7.996666666666666,11.75,6.075,,,,24.25,67.0,144.25,,,,,,8.549999999999997,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
