日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7
107/11/02,150.0,150.0,150.0,150.0,2.0,0.0,,,,,
107/11/03,107.2,130.7,108.4,80.2,103.0,50.49999999999999,150.0,,,,
107/11/04,95.5,111.7,96.1,77.5,30.0,34.2,107.2,,,,
107/11/06,154.925,177.2,158.5,123.35,43.25,53.85,95.5,,,117.56666666666666,
107/11/07,120.8,149.9,121.7,89.1,58.5,60.80000000000001,154.925,,,119.20833333333333,
107/11/08,122.65,152.5,118.65,105.0,28.0,47.5,120.8,,,123.74166666666667,
107/11/09,160.4,178.75,160.25,142.5,46.0,36.25,122.65,,,132.79166666666666,
107/11/10,156.625,195.1,157.125,94.05,195.125,101.05,160.4,150.0,,134.61666666666667,130.2107142857143
107/11/11,164.075,195.1,159.9,119.85,149.0,75.25,156.625,107.2,,146.55833333333334,131.15714285714287
107/11/13,159.2,187.075,157.025,106.0,248.75,81.07499999999999,164.075,95.5,,160.36666666666667,139.28214285714284
107/11/14,162.11999999999998,181.88,163.52,127.94,289.0,53.93999999999998,159.2,154.925,,159.96666666666667,148.38214285714284
107/11/15,178.15,198.2,176.4,143.475,278.375,54.725,162.11999999999998,120.8,,161.79833333333332,149.41
107/11/16,197.0666666666667,216.36666666666667,198.4333333333333,140.9,305.0,75.46666666666667,178.15,122.65,,166.48999999999998,157.60285714285715
107/11/17,142.12,173.26,141.68,105.4,612.2,67.85999999999999,197.0666666666667,160.4,,179.11222222222224,168.2338095238095
107/11/18,142.55,175.45,137.85,101.6,615.0,73.85,142.12,156.625,150.0,172.44555555555556,165.62238095238095
107/11/20,162.04000000000002,196.9,160.24,124.84,824.4,72.06,142.55,164.075,107.2,160.57888888888888,163.61166666666668
107/11/21,162.74,199.72,158.9,119.18,856.0,80.54,162.04000000000002,159.2,95.5,148.90333333333334,163.32095238095238
107/11/22,153.54000000000002,193.88,154.56,105.94,519.8,87.93999999999998,162.74,162.11999999999998,154.925,155.77666666666667,163.82666666666665
107/11/23,156.32,188.02,153.22,125.08,584.2,62.94000000000001,153.54000000000002,178.15,120.8,159.44000000000003,162.60095238095238
107/11/24,146.48333333333335,186.91666666666663,141.83333333333334,113.66666666666669,1063.8333333333333,73.24999999999999,156.32,197.0666666666667,122.65,157.53333333333333,159.48238095238096
107/11/25,147.20000000000002,179.4,146.56666666666666,108.09999999999998,635.3333333333334,71.30000000000003,146.48333333333335,142.12,160.4,152.11444444444444,152.25619047619048
107/11/27,137.91666666666666,170.79999999999998,135.54999999999998,105.43333333333334,1214.75,65.36666666666665,147.20000000000002,142.55,156.625,150.00111111111113,152.9819047619048
107/11/28,132.6,162.1,130.73333333333335,96.3,1337.8333333333333,65.79999999999998,137.91666666666666,162.04000000000002,164.075,143.86666666666667,152.32
107/11/29,118.75,151.71666666666667,116.55,83.66666666666667,893.1666666666666,68.05,132.6,162.74,159.2,139.2388888888889,148.1142857142857
107/11/30,132.29999999999998,153.75,131.73333333333332,102.2,760.0,51.55,118.75,153.54000000000002,162.11999999999998,129.75555555555556,141.82999999999998
107/12/01,136.35,175.6833333333333,133.33333333333334,102.15,1453.4166666666667,73.53333333333332,132.29999999999998,156.32,178.15,127.88333333333333,138.7957142857143
107/12/02,125.18333333333334,162.51666666666668,121.1,93.56666666666666,1376.5,68.95000000000002,136.35,146.48333333333335,197.0666666666667,129.13333333333333,135.94285714285712
107/12/04,118.71666666666664,145.81666666666666,116.63333333333333,91.63333333333333,1999.0,54.18333333333334,125.18333333333334,147.20000000000002,142.12,131.27777777777777,132.9
107/12/05,128.04999999999998,167.81666666666666,125.03333333333336,93.01666666666668,1916.1666666666667,74.8,118.71666666666664,137.91666666666666,142.55,126.74999999999999,128.83095238095237
107/12/06,120.36666666666667,159.81666666666666,116.48333333333332,87.2,1741.3333333333333,72.61666666666666,128.04999999999998,132.6,162.04000000000002,123.9833333333333,127.42142857142856
107/12/07,119.55,151.58333333333334,116.8,92.03333333333336,1575.8333333333333,59.55,120.36666666666667,118.75,162.74,122.37777777777778,125.67380952380951
107/12/08,113.81666666666666,156.16666666666666,110.88333333333333,74.64999999999999,2227.833333333333,81.51666666666667,119.55,132.29999999999998,153.54000000000002,122.65555555555555,125.78809523809524
107/12/09,110.81666666666666,146.6,111.35,72.75,2327.333333333333,73.85,113.81666666666666,136.35,156.32,117.91111111111111,123.14761904761905
107/12/11,106.0,140.93333333333334,103.15,69.76666666666667,2991.833333333333,71.16666666666667,110.81666666666666,125.18333333333334,146.48333333333335,114.72777777777777,119.5
