日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7
109/11/01,216.6,237.5,212.5,182.85,67.5,54.650000000000006,,,,,
109/11/03,165.1,226.66666666666663,165.4,115.4,71.0,111.26666666666668,216.6,,,,
109/11/04,155.75,180.75,152.6,120.05,52.5,60.7,165.1,,,,
109/11/05,151.0,185.75,143.15,116.175,60.25,69.575,155.75,,,179.15,
109/11/06,149.96666666666667,184.96666666666667,146.33333333333334,99.46666666666664,130.0,85.50000000000001,151.0,,,157.28333333333333,
109/11/07,148.20000000000002,168.70000000000002,150.76666666666665,106.8,126.66666666666669,61.90000000000002,149.96666666666667,,,152.2388888888889,
109/11/08,154.7,192.6,153.8,88.95,125.75,103.65,148.20000000000002,,,149.72222222222223,
109/11/10,168.675,204.5,170.975,111.3,157.5,93.2,154.7,216.6,,150.95555555555555,163.0452380952381
109/11/11,201.66,218.6,202.04,167.16,143.8,51.44,168.675,165.1,,157.19166666666666,156.19880952380953
109/11/13,182.375,212.65,186.325,141.825,300.0,70.82500000000002,201.66,155.75,,175.01166666666666,161.42166666666668
109/11/14,169.71999999999997,199.08,170.07999999999998,122.64,207.8,76.43999999999997,182.375,151.0,,184.23666666666668,165.22523809523813
109/11/15,177.06,198.12,177.48,139.0,320.6,59.120000000000005,169.71999999999997,149.96666666666667,,184.585,167.8995238095238
109/11/17,165.85,202.75,171.2,112.725,738.625,90.025,177.06,148.20000000000002,,176.385,171.77
109/11/18,173.1,200.58,178.86,127.1,438.7,73.47999999999999,165.85,154.7,,170.87666666666667,174.29142857142855
109/11/19,168.52,184.82,172.48,139.24,450.3,45.579999999999984,173.1,168.675,216.6,172.00333333333333,176.92
109/11/20,174.06,204.16,172.95999999999998,134.76,778.0,69.4,168.52,201.66,165.1,169.15666666666667,176.89785714285713
109/11/21,174.08333333333334,204.9,171.5666666666667,141.70000000000002,779.3333333333334,63.19999999999999,174.06,182.375,155.75,171.89333333333335,172.95499999999998
109/11/22,183.1,212.9,184.23333333333332,138.54999999999998,773.5833333333334,74.35000000000002,174.08333333333334,169.71999999999997,151.0,172.2211111111111,171.77047619047616
109/11/24,156.08571428571426,190.7428571428572,157.92857142857142,109.9,852.3571428571429,80.84285714285717,183.1,177.06,149.96666666666667,177.0811111111111,173.6819047619048
109/11/25,156.79999999999998,193.14285714285717,156.5142857142857,119.97142857142856,1149.428571428571,73.17142857142858,156.08571428571426,165.85,148.20000000000002,171.0896825396825,170.6855782312925
109/11/26,164.5,206.83333333333331,166.36666666666667,114.75,881.3333333333334,92.08333333333334,156.79999999999998,173.1,154.7,165.3285714285714,169.39272108843537
109/11/27,134.3857142857143,177.64285714285714,131.6,88.24285714285713,892.9285714285714,89.4,164.5,168.52,168.675,159.1285714285714,168.1641496598639
109/11/28,148.9,183.82857142857145,147.0142857142857,108.31428571428572,1276.7857142857142,75.5142857142857,134.3857142857143,174.06,201.66,151.89523809523808,163.28782312925168
109/11/29,146.9375,179.65,145.7125,112.2,1543.5625,67.45,148.9,174.08333333333334,182.375,149.2619047619048,159.693537414966
109/12/01,134.75714285714284,172.78571428571428,132.0857142857143,88.57142857142857,1978.2142857142856,84.21428571428571,146.9375,183.1,169.71999999999997,143.4077380952381,155.81556122448978
109/12/02,113.11428571428571,142.37142857142857,110.8,77.25714285714285,2098.1428571428573,65.11428571428571,134.75714285714284,156.08571428571426,177.06,143.53154761904761,148.90943877551018
109/12/03,114.5875,145.025,113.0,79.4625,1672.0625,65.5625,113.11428571428571,156.79999999999998,165.85,131.6029761904762,142.77066326530613
109/12/04,121.4,159.46666666666667,119.38333333333333,73.43333333333334,1952.6666666666667,86.03333333333333,114.5875,164.5,173.1,120.81964285714285,136.74030612244897
109/12/05,125.31428571428572,158.92857142857142,122.07142857142856,88.28571428571429,2140.3571428571427,70.64285714285712,121.4,134.3857142857143,168.52,116.3672619047619,130.58316326530613
