日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7
113/11/03,184.55,212.5,184.1,157.95,9.5,54.55000000000001,,,,,
113/11/05,200.0,200.0,200.0,200.0,8.0,0.0,184.55,,,,
113/11/06,235.0,290.0,231.7,190.0,6.0,100.0,200.0,,,,
113/11/07,202.0,250.0,193.3,180.0,5.0,70.0,235.0,,,206.51666666666665,
113/11/09,159.5,178.6,158.4,143.55,17.5,35.04999999999998,202.0,,,212.33333333333334,
113/11/10,245.4,299.2,242.6,200.0,12.0,99.2,159.5,,,198.83333333333334,
113/11/12,200.0,200.0,200.0,200.0,42.0,0.0,245.4,,,202.29999999999998,
113/11/13,216.2,263.3333333333333,207.5666666666667,195.0,15.0,68.33333333333331,200.0,184.55,,201.63333333333333,203.77857142857144
113/11/14,232.8,330.0,239.6,115.0,9.0,215.0,216.2,200.0,,220.53333333333333,208.3
113/11/15,250.0,250.0,250.0,250.0,5.25,0.0,232.8,235.0,,216.33333333333334,212.9857142857143
113/11/16,195.86666666666667,212.16666666666663,195.73333333333332,180.0,20.33333333333333,32.16666666666666,250.0,202.0,,233.0,215.12857142857143
113/11/17,197.85,250.3,193.25,159.2,20.0,91.10000000000002,195.86666666666667,159.5,,226.2222222222222,214.25238095238095
113/11/19,223.2125,242.5,224.85,199.05,29.75,43.44999999999999,197.85,245.4,,214.57222222222222,219.7309523809524
113/11/20,188.44,223.74,182.14,172.0,11.2,51.74000000000001,223.2125,200.0,,205.64305555555555,216.5613095238095
113/11/21,159.61,186.0,158.7,140.0,1018.0,46.0,188.44,216.2,184.55,203.16750000000002,214.90988095238095
113/11/22,265.0,276.0,267.0,248.0,28.9,28.0,159.61,232.8,200.0,190.42083333333335,206.82559523809525
113/11/23,237.18,281.35,232.425,207.35,47.5,74.00000000000003,265.0,250.0,235.0,204.35000000000002,211.4255952380952
113/11/24,200.315,225.0,197.0,175.0,47.0,50.0,237.18,195.86666666666667,202.0,220.59666666666666,209.59416666666667
113/11/26,218.89,254.02,214.98,180.62,120.1,73.39999999999998,200.315,197.85,159.5,234.165,210.22964285714286
113/11/27,235.9375,288.95,238.3,168.35,94.75,120.6,218.89,223.2125,245.4,218.795,213.23535714285714
113/11/28,255.96,283.24,260.88,200.26,56.0,82.98000000000002,235.9375,188.44,200.0,218.3808333333333,215.0532142857143
113/11/29,250.23333333333332,292.0833333333333,254.6833333333333,202.91666666666663,55.66666666666666,89.16666666666666,255.96,159.61,216.2,236.92916666666667,224.69892857142855
113/11/30,264.86,314.36,270.28000000000003,192.0,87.2,122.36,250.23333333333332,265.0,232.8,247.37694444444446,237.64511904761903
113/12/01,314.34000000000003,391.35,321.325,213.275,128.25,178.07500000000002,264.86,237.18,250.0,257.0177777777778,237.62511904761908
113/12/03,296.05,357.5,299.1,221.85,158.0,135.65,314.34000000000003,200.315,195.86666666666667,276.4777777777778,248.6479761904762
113/12/04,321.904,403.34,329.7,212.68,169.0,190.66000000000005,296.05,218.89,197.85,291.75,262.32440476190476
