日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14,價格(元/公斤)_ma3,價格(元/公斤)_ma7
111/11/01,170.0,170.0,170.0,170.0,3.0,0.0,,,,,
111/11/03,130.0,130.0,130.0,130.0,12.0,0.0,170.0,,,,
111/11/05,176.0,205.0,188.35,110.0,9.0,95.0,130.0,,,,
111/11/08,210.0,240.0,210.0,180.0,4.0,60.0,176.0,,,158.66666666666666,
111/11/09,227.5,240.0,240.0,190.0,41.0,50.0,210.0,,,172.0,
111/11/10,300.0,300.0,300.0,300.0,60.0,0.0,227.5,,,204.5,
111/11/11,185.0,201.25,183.6,160.425,32.25,40.82499999999999,300.0,,,245.83333333333334,
111/11/12,203.94,226.0,202.24,176.72,92.7,49.28,185.0,170.0,,237.5,199.78571428571428
111/11/13,261.3,285.0,261.0,209.65,120.0,75.35,203.94,130.0,,229.64666666666668,204.6342857142857
111/11/15,208.52,230.86,214.8,173.9,213.4,56.95999999999998,261.3,176.0,,216.74666666666667,223.39142857142858
111/11/16,189.525,217.5,194.9,150.2,226.5,67.30000000000001,208.52,210.0,,224.58666666666667,228.03714285714287
111/11/18,202.9333333333333,234.1833333333333,204.98333333333332,171.96666666666667,235.75,62.21666666666664,189.525,227.5,,219.78166666666667,225.11214285714286
111/11/19,180.95,224.25,179.425,130.0,694.75,94.25,202.9333333333333,300.0,,200.32611111111112,221.60261904761904
111/11/20,170.46666666666667,224.4,175.79999999999998,81.13333333333334,775.0,143.26666666666665,180.95,185.0,,191.1361111111111,204.59547619047618
111/11/22,182.12,226.18,181.86,125.92,760.6,100.26,170.46666666666667,203.94,170.0,184.7833333333333,202.5192857142857
111/11/23,171.25714285714284,210.77142857142857,169.08571428571426,131.77142857142857,904.5714285714286,79.0,182.12,261.3,130.0,177.84555555555553,199.40214285714288
111/11/24,161.01999999999998,199.54,162.1,116.34,904.4,83.20000000000002,171.25714285714284,208.52,176.0,174.61460317460316,186.53887755102042
111/11/25,177.95999999999998,224.26,178.86,128.28,777.0,95.98,161.01999999999998,189.525,210.0,171.46571428571428,179.7531632653061
111/11/26,203.11666666666667,245.96666666666667,204.58333333333331,149.76666666666668,1108.6666666666667,96.2,177.95999999999998,202.9333333333333,227.5,170.0790476190476,178.10102040816327
111/11/27,165.12,220.76,166.82,99.0,1088.0,121.76,203.11666666666667,180.95,300.0,180.69888888888886,178.12721088435373
111/11/29,158.81428571428572,205.52857142857144,154.92857142857142,111.12857142857142,1442.142857142857,94.40000000000002,165.12,170.46666666666667,185.0,182.06555555555553,175.86578231292518
111/11/30,156.78333333333333,203.46666666666667,157.73333333333332,99.45,1523.3333333333333,104.01666666666668,158.81428571428572,182.12,203.94,175.6836507936508,174.20115646258503
111/12/01,140.45000000000002,173.3166666666667,137.95000000000002,107.2,1414.0,66.11666666666669,156.78333333333333,171.25714285714284,261.3,160.23920634920637,170.5816326530612
111/12/02,146.31666666666666,195.55,144.4,93.48333333333332,1571.5833333333333,102.06666666666663,140.45000000000002,161.01999999999998,208.52,152.01587301587304,166.18061224489796
111/12/03,142.26666666666668,192.71666666666667,139.38333333333333,90.25,1482.6666666666667,102.46666666666668,146.31666666666666,177.95999999999998,189.525,147.85,164.08013605442176
111/12/04,143.56666666666666,195.71666666666667,145.15,77.21666666666667,1587.3333333333333,118.5,142.26666666666668,203.11666666666667,202.9333333333333,143.0111111111111,158.98108843537418
111/12/06,142.72857142857143,192.9142857142857,141.81428571428572,91.37142857142858,1952.571428571429,101.54285714285716,143.56666666666666,165.12,180.95,144.04999999999998,150.47394557823128
111/12/07,155.5125,207.9875,155.4125,101.25,1513.375,106.7375,142.72857142857143,158.81428571428572,170.46666666666667,142.85396825396825,147.27517006802722
111/12/08,147.38333333333333,198.51666666666665,145.5,90.65,1559.3333333333333,107.86666666666666,155.5125,156.78333333333333,182.12,147.26924603174604,146.80348639455784
111/12/09,143.12857142857143,197.9142857142857,142.21428571428572,88.21428571428571,1448.5,109.70000000000005,147.38333333333333,140.45000000000002,171.25714285714284,148.54146825396825,145.46062925170068
111/12/10,143.38571428571427,203.68571428571428,141.75714285714284,85.51428571428572,1418.7857142857142,118.17142857142856,143.12857142857143,146.31666666666666,161.01999999999998,148.67480158730157,145.84328231292517
111/12/11,141.62857142857143,204.0142857142857,141.7,75.89999999999999,1681.7142857142858,128.1142857142857,143.38571428571427,142.26666666666668,177.95999999999998,144.6325396825397,145.42457482993197
111/12/13,138.4,202.42857142857144,134.97142857142856,82.8142857142857,2165.928571428572,119.61428571428571,141.62857142857143,143.56666666666666,203.11666666666667,142.7142857142857,145.33341836734695
111/12/14,132.1,191.8142857142857,129.57142857142858,81.95714285714287,1814.9285714285716,109.85714285714285,138.4,142.72857142857143,165.12,141.13809523809525,144.59532312925168
111/12/15,152.6,250.0,146.0,75.0,154.0,175.0,132.1,155.5125,158.81428571428572,137.3761904761905,143.07695578231292
111/12/16,139.8,196.4857142857143,139.54285714285714,83.28571428571429,2258.0714285714284,113.2,152.6,147.38333333333333,156.78333333333333,141.03333333333333,142.6608843537415
111/12/17,132.15714285714287,188.4,130.62857142857143,77.10000000000001,1466.7857142857142,111.3,139.8,143.12857142857143,140.45000000000002,141.5,141.57755102040815
