日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,上價_ma3,上價_ma7,中價_lag1,中價_lag7,中價_lag14,中價_ma3,中價_ma7,下價_lag1,下價_lag7,下價_lag14,下價_ma3,下價_ma7,價格區間_lag1,價格區間_lag7,價格區間_lag14,價格區間_ma3,價格區間_ma7,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,交易量(公斤)_ma3,交易量(公斤)_ma7,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
110/11/01,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110/11/02,69.04736842105264,100.0,,,,,86.7,,,,,50.0,,,,,50.0,,,,,2415.0,,,,,82.0,,
110/11/03,62.435,90.8736842105263,,,,,68.7421052631579,,,,,52.26315789473684,,,,,38.61052631578946,,,,,1993.6947368421047,,,,,69.04736842105264,,
110/11/04,54.65,83.35499999999999,,,91.40956140350876,,62.265,,,72.5690350877193,,46.08,,,49.44771929824561,,37.27499999999999,,,41.96184210526315,,1846.74,,,2085.1449122807016,,62.435,,
110/11/05,50.86842105263158,72.97,,,82.39956140350877,,54.735,,,61.9140350877193,,40.345,,,46.229385964912275,,32.625,,,36.17017543859648,,2063.9,,,1968.1115789473681,,54.65,,
110/11/06,48.48,65.97368421052632,,,74.09956140350876,,50.78421052631579,,,55.9280701754386,,38.59473684210526,,,41.67324561403509,,27.37894736842105,,,32.42631578947368,,2085.657894736842,,,1998.7659649122807,,50.86842105263158,,
110/11/07,48.81526315789474,65.37,,,68.10456140350878,,48.15,,,51.2230701754386,,35.17,,,38.03657894736842,,30.200000000000003,,,30.067982456140353,,2377.45,,,2175.669298245614,,48.48,,
110/11/08,50.9,66.91578947368421,100.0,,66.08649122807019,77.9225939849624,48.61578947368421,86.7,,49.18333333333334,59.99887218045113,32.81578947368421,50.0,,35.526842105263164,42.18124060150376,34.1,50.0,,30.559649122807016,35.741353383458645,2280.0526315789475,2415.0,,2247.7201754385965,2151.7850375939847,48.81526315789474,82.0,
110/11/09,44.3555,66.1,90.8736842105263,,66.12859649122807,73.07973684210526,51.4,68.7421052631579,,49.38859649122807,54.956015037593986,33.4,52.26315789473684,,33.79526315789474,39.809812030075186,32.7,38.61052631578946,,32.333333333333336,33.26992481203007,5785.0,1993.6947368421047,,3480.834210526316,2633.2136090225563,50.9,69.04736842105264,
110/11/10,43.651818181818186,61.39,83.35499999999999,,64.80192982456141,68.8677819548872,43.84,62.265,,47.951929824561404,51.39857142857143,29.665,46.08,,31.96026315789474,36.5815037593985,31.725,37.27499999999999,,32.84166666666667,32.28627819548872,3306.3,1846.74,,3790.450877192982,2820.7286466165415,44.3555,62.435,
110/11/11,53.095,58.33636363636364,72.97,,61.94212121212121,65.29369104579631,43.45909090909091,54.735,,46.2330303030303,48.71201298701298,30.077272727272728,40.345,,31.047424242424242,34.295399863294605,28.259090909090915,32.625,,30.89469696969697,30.99829118250171,2882.681818181818,2063.9,,3991.327272727273,2968.7203349282295,43.651818181818186,54.65,
110/11/12,39.72,72.0,65.97368421052632,,63.908787878787884,65.15511961722487,52.275000000000006,50.78421052631579,,46.52469696969697,48.36058441558442,38.675,38.59473684210526,,32.805757575757575,34.05682843472317,33.325,27.37894736842105,,31.103030303030305,31.098291182501715,3894.0,2085.657894736842,,3360.99393939394,3230.1631920710865,53.095,50.86842105263158,
