日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmean_3d_prev,日照時數(hour)_rollmean_3d_prev,相對溼度(%)_rollmean_3d_prev,最大陣風(m/s)_rollmean_3d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
107/09/01,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/02,27.2,32.5,24.04,5.7,3.8,0.0,78.4,7.08,,,,,,,,,,,8.46,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
107/09/03,27.22,32.440000000000005,24.04,8.8,0.4,0.0,79.4,7.12,,,,,,,,,,,8.400000000000006,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
107/09/04,27.660000000000004,32.3,23.5,11.7,0.0,0.0,73.8,6.659999999999999,27.36,32.413333333333334,23.86,8.733333333333333,77.2,6.953333333333333,4.2,,0.0,,8.799999999999997,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
107/09/05,28.42,33.18,24.64,10.5,2.3,0.0,76.4,6.92,27.766666666666666,32.64,24.060000000000002,10.333333333333334,76.53333333333335,6.8999999999999995,2.6999999999999997,,0.0,,8.54,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
107/09/06,27.8,33.1,25.04,4.4,13.6,0.6,84.0,9.86,27.959999999999997,32.85999999999999,24.393333333333334,8.866666666666667,78.06666666666666,7.813333333333333,15.899999999999999,,0.6,,8.060000000000002,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
107/09/07,26.54,32.06,23.22,5.4,55.5,3.9,86.4,7.94,27.58666666666667,32.78,24.3,6.766666666666667,82.26666666666667,8.24,71.4,,4.5,,8.840000000000003,0,0,0,0,1,1,3,9,-1.0,-1.8369701987210297e-16,0
107/09/08,26.64,32.82,23.0,7.1,45.0,3.6,85.0,8.8,26.993333333333336,32.660000000000004,23.75333333333333,5.633333333333333,85.13333333333334,8.866666666666667,114.1,120.6,8.1,8.1,9.82,0,0,0,0,0,1,4,9,-1.0,-1.8369701987210297e-16,0
107/09/09,26.12,31.84,23.880000000000003,5.7,43.8,5.4,87.0,7.8199999999999985,26.433333333333334,32.24,23.366666666666664,6.066666666666666,86.13333333333334,8.186666666666667,144.3,160.6,12.9,13.5,7.959999999999997,0,0,0,0,0,1,5,9,-1.0,-1.8369701987210297e-16,0
107/09/10,26.14,29.64,23.56,4.6,0.02,0.7,83.2,8.040000000000001,26.3,31.433333333333334,23.48,5.8,85.06666666666666,8.22,88.82000000000001,160.22,9.7,14.2,6.080000000000002,0,0,0,0,0,1,6,9,-1.0,-1.8369701987210297e-16,0
