日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmean_3d_prev,日照時數(hour)_rollmean_3d_prev,相對溼度(%)_rollmean_3d_prev,最大陣風(m/s)_rollmean_3d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
112/09/01,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/02,27.32,32.44,25.0,4.6,6.2725,0.9,88.4,7.1,,,,,,,,,,,7.439999999999998,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
112/09/03,28.14,32.78,25.74,2.1,1.5,1.9,84.4,6.0,,,,,,,,,,,7.040000000000003,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
112/09/04,27.0,29.64,25.58,0.0,2.625,4.3,89.8,11.8,27.486666666666668,31.62,25.439999999999998,2.233333333333333,87.53333333333335,8.299999999999999,10.3975,,7.1,,4.060000000000002,0,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
112/09/05,27.06,30.9,25.0,0.0,10.625,5.1,85.4,9.48,27.400000000000002,31.106666666666666,25.439999999999998,0.7000000000000001,86.53333333333335,9.093333333333334,14.75,,11.299999999999999,,5.899999999999999,0,0,0,0,0,1,4,9,-1.0,-1.8369701987210297e-16,0
112/09/06,28.22,33.78,24.92,6.8,0.3975,0.1,82.2,8.34,27.426666666666666,31.439999999999998,25.166666666666668,2.2666666666666666,85.8,9.873333333333333,13.6475,,9.499999999999998,,8.86,0,0,0,0,0,1,5,9,-1.0,-1.8369701987210297e-16,0
112/09/07,27.0,33.2,24.34,4.1,40.375,3.5,88.4,8.7,27.426666666666666,32.626666666666665,24.753333333333334,3.633333333333333,85.33333333333333,8.840000000000002,51.3975,,8.7,,8.860000000000003,0,0,0,0,0,1,6,9,-1.0,-1.8369701987210297e-16,0
112/09/08,26.3,32.34,23.96,3.8,77.0,3.4,89.6,8.16,27.173333333333332,33.10666666666666,24.406666666666666,4.8999999999999995,86.73333333333335,8.399999999999999,117.77250000000001,138.79500000000002,7.0,19.2,8.380000000000003,0,0,0,0,1,1,7,9,-1.0,-1.8369701987210297e-16,0
112/09/09,26.160000000000004,31.46,23.880000000000003,4.6,64.375,5.3,90.6,7.959999999999999,26.486666666666668,32.333333333333336,24.060000000000002,4.166666666666667,89.53333333333335,8.273333333333333,181.75,196.89749999999998,12.2,23.6,7.579999999999998,0,0,0,0,1,1,8,9,-1.0,-1.8369701987210297e-16,0
112/09/10,26.24,30.64,23.56,1.0,10.75,3.2,86.4,9.58,26.233333333333334,31.48,23.8,3.133333333333333,88.86666666666667,8.566666666666665,152.125,206.14749999999998,11.9,24.9,7.080000000000002,0,0,0,0,0,1,9,9,-1.0,-1.8369701987210297e-16,0
112/09/11,25.14,29.68,23.24,0.0,154.2,8.6,93.8,8.64,25.846666666666668,30.593333333333334,23.560000000000002,1.8666666666666665,90.26666666666667,8.726666666666667,229.325,357.72249999999997,17.1,29.200000000000003,6.440000000000001,0,0,0,0,1,1,10,9,-1.0,-1.8369701987210297e-16,0
112/09/12,26.64,31.380000000000003,23.3,7.7,0.125,0.0,86.2,5.4,26.006666666666664,30.566666666666666,23.366666666666664,2.9,88.8,7.873333333333334,165.075,347.22249999999997,11.799999999999999,24.1,8.080000000000002,0,0,0,0,0,1,11,9,-1.0,-1.8369701987210297e-16,0
112/09/13,26.72,31.920000000000005,23.36,7.6,1.0225,0.1,83.0,5.34,26.166666666666668,30.993333333333336,23.299999999999997,5.1000000000000005,87.66666666666667,6.460000000000001,155.3475,347.84749999999997,8.7,24.099999999999998,8.560000000000006,0,0,0,0,0,1,12,9,-1.0,-1.8369701987210297e-16,0
112/09/14,27.12,31.54,23.72,6.9,0.2,0.0,81.2,5.24,26.826666666666668,31.613333333333333,23.459999999999997,7.3999999999999995,83.46666666666665,5.326666666666667,1.3475,307.6725,0.1,20.599999999999998,7.82,0,0,0,0,0,1,13,9,-1.0,-1.8369701987210297e-16,0
112/09/15,27.18,32.44,23.78,8.1,0.1,0.0,79.4,5.779999999999999,27.00666666666667,31.96666666666667,23.62,7.533333333333334,81.2,5.453333333333333,1.3225,230.77249999999998,0.1,17.2,8.659999999999997,0,0,0,0,0,1,14,9,-1.0,-1.8369701987210297e-16,0
112/09/16,26.78,33.28,23.16,6.3,19.918,0.2,82.2,8.22,27.02666666666667,32.419999999999995,23.55333333333333,7.1000000000000005,80.93333333333334,6.413333333333334,20.218,186.3155,0.2,12.1,10.120000000000001,0,0,0,0,0,1,15,9,-1.0,-1.8369701987210297e-16,0
112/09/17,27.92,33.28,24.12,7.6,0.0,0.0,77.0,5.62,27.293333333333333,33.0,23.686666666666667,7.333333333333333,79.53333333333335,6.54,20.018,175.5655,0.2,8.9,9.16,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
