日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmean_3d_prev,日照時數(hour)_rollmean_3d_prev,相對溼度(%)_rollmean_3d_prev,最大陣風(m/s)_rollmean_3d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
113/09/01,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/02,28.18,34.18,24.58,6.2,17.8,1.6,81.8,9.14,,,,,,,,,,,9.600000000000001,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/03,29.14,34.5,25.06,8.6,1.5,0.0,81.0,6.04,,,,,,,,,,,9.440000000000001,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
113/09/04,29.9,34.44,27.32,6.7,0.0,0.0,78.8,6.82,29.073333333333334,34.373333333333335,25.653333333333332,7.166666666666667,80.53333333333333,7.333333333333333,19.3,,1.6,,7.119999999999997,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/05,29.160000000000004,34.3,26.74,4.6,8.1,1.2,81.8,7.18,29.400000000000002,34.41333333333333,26.373333333333335,6.633333333333333,80.53333333333335,6.68,9.6,,1.2,,7.559999999999999,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/06,27.96,33.760000000000005,24.6,3.6,12.1,1.8,86.6,11.2,29.00666666666667,34.166666666666664,26.22,4.966666666666666,82.39999999999999,8.4,20.2,,3.0,,9.160000000000004,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
113/09/07,28.12,34.32,24.74,7.3,5.2,0.6,82.8,7.5,28.413333333333338,34.126666666666665,25.36,5.166666666666666,83.73333333333333,8.626666666666667,25.4,,3.6,,9.580000000000002,0,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
113/09/08,27.74,32.12,25.4,2.8,3.1,0.0,85.4,6.9,27.939999999999998,33.400000000000006,24.91333333333333,4.566666666666666,84.93333333333332,8.533333333333333,20.4,47.8,2.4000000000000004,5.2,6.719999999999999,0,0,0,0,0,1,4,9,-1.0,-1.8369701987210297e-16,0
113/09/09,26.380000000000003,32.04,23.6,1.8,44.4,4.4,90.4,7.779999999999999,27.413333333333338,32.82666666666666,24.58,3.9666666666666655,86.2,7.3933333333333335,52.7,74.39999999999999,5.0,8.0,8.439999999999998,0,0,0,0,0,1,5,9,-1.0,-1.8369701987210297e-16,0
113/09/10,26.34,33.260000000000005,22.86,8.5,44.7,1.6,86.2,10.9,26.819999999999997,32.473333333333336,23.953333333333333,4.366666666666666,87.33333333333333,8.526666666666666,92.19999999999999,117.6,6.0,9.6,10.400000000000006,0,0,0,0,0,1,6,9,-1.0,-1.8369701987210297e-16,0
113/09/11,27.9,32.62,23.92,9.5,3.218,0.1,81.6,6.2,26.873333333333335,32.64000000000001,23.459999999999997,6.599999999999999,86.06666666666666,8.293333333333335,92.318,120.818,6.1000000000000005,9.7,8.699999999999996,0,0,0,0,0,1,7,9,-1.0,-1.8369701987210297e-16,0
113/09/12,28.1,33.980000000000004,25.2,8.9,24.618,0.1,82.4,9.32,27.44666666666667,33.28666666666667,23.993333333333336,8.966666666666667,83.39999999999999,8.806666666666667,72.536,137.336,1.8,8.600000000000001,8.780000000000005,0,0,0,0,0,1,8,9,-1.0,-1.8369701987210297e-16,0
113/09/13,27.74,31.12,25.5,2.5,0.9,0.0,87.4,5.720000000000001,27.91333333333333,32.57333333333333,24.873333333333335,6.966666666666666,83.80000000000001,7.080000000000001,28.735999999999997,126.136,0.2,6.8,5.620000000000001,0,0,0,0,0,1,9,9,-1.0,-1.8369701987210297e-16,0
113/09/14,27.48,33.52,23.52,6.9,21.718,0.7,81.6,10.46,27.773333333333337,32.873333333333335,24.74,6.099999999999999,83.8,8.500000000000002,47.236,142.654,0.7999999999999999,6.9,10.000000000000004,0,0,0,0,0,1,10,9,-1.0,-1.8369701987210297e-16,0
113/09/15,25.34,30.62,22.380000000000003,2.6,32.7,2.0,88.0,11.02,26.853333333333335,31.75333333333334,23.8,3.9999999999999996,85.66666666666667,9.066666666666668,55.318,172.25400000000002,2.7,8.9,8.239999999999998,0,0,0,0,0,1,11,9,-1.0,-1.8369701987210297e-16,0
113/09/16,27.78,33.68,22.58,9.7,0.7,0.0,77.4,5.48,26.866666666666664,32.60666666666667,22.826666666666668,6.399999999999999,82.33333333333333,8.986666666666668,55.118,128.554,2.7,4.5,11.100000000000001,0,0,0,0,0,1,12,9,-1.0,-1.8369701987210297e-16,0
113/09/17,28.52,33.0,24.7,7.4,0.0,0.0,81.0,4.659999999999999,27.213333333333335,32.43333333333333,23.22,6.5666666666666655,82.13333333333334,7.053333333333334,33.400000000000006,83.85400000000001,2.0,2.9,8.3,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
113/09/18,29.44,34.54,25.54,10.8,1.0,0.2,80.4,6.38,28.580000000000002,33.74,24.27333333333333,9.299999999999999,79.60000000000001,5.506666666666668,1.7,81.63600000000001,0.20000000000000023,3.0,9.0,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
113/09/19,28.64,33.075,25.6,5.1,0.2,0.0,81.4,5.425,28.866666666666664,33.538333333333334,25.28,7.766666666666667,80.93333333333334,5.488333333333333,1.2,57.218,0.20000000000000023,2.9,7.475000000000001,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
113/09/20,28.380000000000003,33.92,25.18,9.2,27.9,1.2,82.8,8.08,28.820000000000004,33.845,25.439999999999998,8.366666666666665,81.53333333333333,6.628333333333334,29.099999999999998,84.218,1.4000000000000001,4.1,8.740000000000002,0,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
113/09/21,26.78,32.56,24.78,3.4,82.4,4.7,91.4,7.340000000000001,27.933333333333337,33.185,25.186666666666667,5.899999999999999,85.2,6.948333333333334,110.5,144.9,5.9,8.1,7.780000000000001,0,0,0,0,1,1,4,9,-1.0,-1.8369701987210297e-16,0
113/09/22,26.92,30.28,24.8,0.6,3.7,0.4,90.4,5.5600000000000005,27.360000000000003,32.25333333333333,24.92,4.3999999999999995,88.2,6.993333333333335,114.0,115.9,6.300000000000001,6.500000000000001,5.48,0,0,0,0,0,1,5,9,-1.0,-1.8369701987210297e-16,0
113/09/23,25.34,28.24,24.04,0.0,61.1,11.3,92.2,10.3,26.346666666666668,30.36,24.540000000000003,1.3333333333333328,91.33333333333333,7.733333333333335,147.20000000000002,176.3,16.400000000000002,17.8,4.199999999999999,0,0,0,0,1,1,6,9,-1.0,-1.8369701987210297e-16,0
