日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,中價_lag1,中價_lag7,中價_lag14,下價_lag1,下價_lag7,下價_lag14,價格區間_lag1,價格區間_lag7,價格區間_lag14,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
107/11/01,22.573636363636364,,,,,,,,,,,,,,,,,,
107/11/02,21.57,33.800000000000004,,,22.163636363636364,,,14.02727272727273,,,19.772727272727277,,,28189.49090909091,,,22.573636363636364,,
107/11/03,21.798181818181817,33.38181818181818,,,20.87272727272727,,,12.88181818181818,,,20.5,,,23824.127272727277,,,21.57,,
107/11/04,22.002222222222223,33.945454545454545,,,21.263636363636365,,,12.609090909090908,,,21.33636363636364,,,28378.14545454545,,,21.798181818181817,,
107/11/05,23.21,35.47777777777778,,,21.066666666666663,,,13.444444444444445,,,22.03333333333334,,,36548.88888888889,,,22.002222222222223,,
107/11/06,22.6,36.65,,,23.75,,,12.65,,,24.0,,,9194.4,,,23.21,,
107/11/07,22.685454545454544,35.0,,,22.063636363636363,,,13.872727272727271,,,21.127272727272725,,,54994.76363636364,,,22.6,,
107/11/08,21.292727272727276,34.91818181818182,33.800000000000004,,22.009090909090908,22.163636363636364,,13.454545454545457,14.02727272727273,,21.46363636363637,19.772727272727277,,48728.92727272727,28189.49090909091,,22.685454545454544,22.573636363636364,
107/11/09,21.264,33.10909090909091,33.38181818181818,,20.75454545454545,20.87272727272727,,13.090909090909092,12.88181818181818,,20.018181818181816,20.5,,41783.92727272728,23824.127272727277,,21.292727272727276,21.57,
107/11/10,21.23,32.61,33.945454545454545,,20.630000000000003,21.263636363636365,,13.169999999999998,12.609090909090908,,19.44,21.33636363636364,,33590.62,28378.14545454545,,21.264,21.798181818181817,
107/11/11,20.685555555555556,32.1,35.47777777777778,,20.7,21.066666666666663,,12.78,13.444444444444445,,19.32,22.03333333333334,,32820.14,36548.88888888889,,21.23,22.002222222222223,
107/11/12,22.72,30.55555555555556,36.65,,20.22222222222222,23.75,,13.0,12.65,,17.555555555555557,24.0,,34302.88888888889,9194.4,,20.685555555555556,23.21,
107/11/13,20.81090909090909,34.05,35.0,,22.85,22.063636363636363,,13.9,13.872727272727271,,20.15,21.127272727272725,,10865.7,54994.76363636364,,22.72,22.6,
107/11/14,20.19,30.93636363636364,34.91818181818182,,20.145454545454545,22.009090909090908,,12.79090909090909,13.454545454545457,,18.145454545454548,21.46363636363637,,47408.836363636365,48728.92727272727,,20.81090909090909,22.685454545454544,
107/11/15,20.023636363636363,30.036363636363635,33.10909090909091,33.800000000000004,19.78181818181818,20.75454545454545,22.163636363636364,12.481818181818182,13.090909090909092,14.02727272727273,17.554545454545455,20.018181818181816,19.772727272727277,36032.6,41783.92727272728,28189.49090909091,20.19,21.292727272727276,22.573636363636364
107/11/16,20.349090909090908,30.463636363636365,32.61,33.38181818181818,19.55454545454545,20.630000000000003,20.87272727272727,12.418181818181818,13.169999999999998,12.88181818181818,18.045454545454547,19.44,20.5,33651.98181818182,33590.62,23824.127272727277,20.023636363636363,21.264,21.57
107/11/17,20.437272727272727,30.73636363636364,32.1,33.945454545454545,20.05454545454545,20.7,21.263636363636365,11.8,12.78,12.609090909090908,18.93636363636364,19.32,21.33636363636364,34836.10909090909,32820.14,28378.14545454545,20.349090909090908,21.23,21.798181818181817
107/11/18,20.0875,30.981818181818184,30.55555555555556,35.47777777777778,19.69090909090909,20.22222222222222,21.066666666666663,12.236363636363636,13.0,13.444444444444445,18.74545454545455,17.555555555555557,22.03333333333334,38713.89090909091,34302.88888888889,36548.88888888889,20.437272727272727,20.685555555555556,22.002222222222223
