日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,中價_lag1,中價_lag7,中價_lag14,下價_lag1,下價_lag7,下價_lag14,價格區間_lag1,價格區間_lag7,價格區間_lag14,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
112/11/01,39.556666666666665,,,,,,,,,,,,,,,,,,
112/11/02,43.094166666666666,60.975,,,38.35833333333333,,,28.60833333333333,,,32.36666666666667,,,16521.683333333334,,,39.556666666666665,,
112/11/03,40.84583333333333,65.34166666666667,,,41.9,,,29.75,,,35.59166666666667,,,15488.0,,,43.094166666666666,,
112/11/04,40.11083333333333,60.76666666666667,,,39.84166666666667,,,28.65,,,32.116666666666674,,,17379.100000000002,,,40.84583333333333,,
112/11/05,40.94545454545455,59.90833333333333,,,39.31666666666667,,,27.70833333333333,,,32.2,,,18923.641666666663,,,40.11083333333333,,
112/11/06,42.66,58.13636363636363,,,40.26363636363636,,,29.61818181818182,,,28.51818181818181,,,18193.354545454546,,,40.94545454545455,,
112/11/07,38.19916666666666,63.75,,,42.1,,,30.45,,,33.3,,,5037.3,,,42.66,,
112/11/08,38.09,57.35833333333333,60.975,,37.44166666666667,38.35833333333333,,26.40833333333333,28.60833333333333,,30.95,32.36666666666667,,22719.283333333336,16521.683333333334,,38.19916666666666,39.556666666666665,
112/11/09,37.99166666666667,56.86666666666667,65.34166666666667,,37.425,41.9,,26.25,29.75,,30.616666666666667,35.59166666666667,,19784.68333333333,15488.0,,38.09,43.094166666666666,
112/11/10,38.40916666666667,56.05833333333333,60.76666666666667,,37.41666666666666,39.84166666666667,,26.20833333333333,28.65,,29.85,32.116666666666674,,20223.391666666663,17379.100000000002,,37.99166666666667,40.84583333333333,
112/11/11,38.57666666666667,59.45,59.90833333333333,,37.65833333333333,39.31666666666667,,25.98333333333333,27.70833333333333,,33.46666666666666,32.2,,24079.80833333333,18923.641666666663,,38.40916666666667,40.11083333333333,
112/11/12,40.52727272727273,57.86666666666667,58.13636363636363,,37.80833333333333,40.26363636363636,,27.141666666666666,29.61818181818182,,30.725,28.51818181818181,,28794.125,18193.354545454546,,38.57666666666667,40.94545454545455,
112/11/13,38.15,58.08181818181818,63.75,,39.17272727272727,42.1,,27.181818181818183,30.45,,30.899999999999995,33.3,,26691.50909090909,5037.3,,40.52727272727273,42.66,
112/11/14,39.0990909090909,57.6,57.35833333333333,,37.15,37.44166666666667,,22.45,26.40833333333333,,35.150000000000006,30.95,,9628.7,22719.283333333336,,38.15,38.19916666666666,
112/11/15,36.67583333333334,59.2090909090909,56.86666666666667,60.975,38.154545454545456,37.425,38.35833333333333,26.072727272727278,26.25,28.60833333333333,33.136363636363626,30.616666666666667,32.36666666666667,30307.6,19784.68333333333,16521.683333333334,39.0990909090909,38.09,39.556666666666665
112/11/16,35.89833333333333,56.71666666666667,56.05833333333333,65.34166666666667,35.68333333333333,37.41666666666666,41.9,24.041666666666668,26.20833333333333,29.75,32.675,29.85,35.59166666666667,20690.68333333333,20223.391666666663,15488.0,36.67583333333334,37.99166666666667,43.094166666666666
112/11/17,39.39,57.05,59.45,60.76666666666667,35.416666666666664,37.65833333333333,39.84166666666667,23.116666666666664,25.98333333333333,28.65,33.93333333333334,33.46666666666666,32.116666666666674,7037.900000000001,24079.80833333333,17379.100000000002,35.89833333333333,38.40916666666667,40.84583333333333
112/11/18,36.58083333333334,56.68333333333334,57.86666666666667,59.90833333333333,38.59166666666667,37.80833333333333,39.31666666666667,25.741666666666664,27.141666666666666,27.70833333333333,30.941666666666677,30.725,32.2,31285.175,28794.125,18923.641666666663,39.39,38.57666666666667,40.11083333333333
112/11/19,38.809090909090905,57.16666666666666,58.08181818181818,58.13636363636363,36.13333333333333,39.17272727272727,40.26363636363636,24.09166666666667,27.181818181818183,29.61818181818182,33.075,30.899999999999995,28.51818181818181,25997.766666666663,26691.50909090909,18193.354545454546,36.58083333333334,40.52727272727273,40.94545454545455
112/11/20,36.39,55.01818181818182,57.6,63.75,38.44545454545455,37.15,42.1,27.327272727272728,22.45,30.45,27.69090909090909,35.150000000000006,33.3,26108.35454545455,9628.7,5037.3,38.809090909090905,38.15,42.66
112/11/21,37.115,59.15,59.2090909090909,57.35833333333333,35.6,38.154545454545456,37.44166666666667,19.4,26.072727272727278,26.40833333333333,39.75,33.136363636363626,30.95,8709.2,30307.6,22719.283333333336,36.39,39.0990909090909,38.19916666666666
112/11/22,36.96083333333333,56.725,56.71666666666667,56.86666666666667,36.34166666666667,35.68333333333333,37.425,24.73333333333333,24.041666666666668,26.25,31.991666666666667,32.675,30.616666666666667,34241.666666666664,20690.68333333333,19784.68333333333,37.115,36.67583333333334,38.09
112/11/23,35.971666666666664,54.36666666666667,57.05,56.05833333333333,36.583333333333336,35.416666666666664,37.41666666666666,23.508333333333336,23.116666666666664,26.20833333333333,30.85833333333333,33.93333333333334,29.85,29183.816666666666,7037.900000000001,20223.391666666663,36.96083333333333,35.89833333333333,37.99166666666667
112/11/24,35.420833333333334,55.24166666666667,56.68333333333334,59.45,35.25833333333333,38.59166666666667,37.65833333333333,25.28333333333333,25.741666666666664,25.98333333333333,29.958333333333336,30.941666666666677,33.46666666666666,30026.216666666664,31285.175,24079.80833333333,35.971666666666664,39.39,38.40916666666667
112/11/25,35.266666666666666,54.28333333333333,57.16666666666666,57.86666666666667,34.96666666666667,36.13333333333333,37.80833333333333,24.275,24.09166666666667,27.141666666666666,30.00833333333333,33.075,30.725,35053.708333333336,25997.766666666663,28794.125,35.420833333333334,36.58083333333334,38.57666666666667
112/11/26,36.40909090909091,54.68333333333334,55.01818181818182,58.08181818181818,34.800000000000004,38.44545454545455,39.17272727272727,23.45833333333333,27.327272727272728,27.181818181818183,31.225000000000005,27.69090909090909,30.899999999999995,39139.65,26108.35454545455,26691.50909090909,35.266666666666666,38.809090909090905,40.52727272727273
112/11/27,38.260000000000005,52.16363636363636,59.15,57.6,36.11818181818182,35.6,37.15,25.745454545454542,19.4,22.45,26.41818181818181,39.75,35.150000000000006,45295.94545454546,8709.2,9628.7,36.40909090909091,36.39,38.15
112/11/28,35.07181818181818,58.55,56.725,59.2090909090909,37.15,36.34166666666667,38.154545454545456,20.0,24.73333333333333,26.072727272727278,38.55,31.991666666666667,33.136363636363626,8411.4,34241.666666666664,30307.6,38.260000000000005,37.115,39.0990909090909
