日期,價格(元/公斤),上價_lag1,上價_lag7,上價_lag14,中價_lag1,中價_lag7,中價_lag14,下價_lag1,下價_lag7,下價_lag14,價格區間_lag1,價格區間_lag7,價格區間_lag14,交易量(公斤)_lag1,交易量(公斤)_lag7,交易量(公斤)_lag14,價格(元/公斤)_lag1,價格(元/公斤)_lag7,價格(元/公斤)_lag14
110/11/01,33.65,,,,,,,,,,,,,,,,,,
110/11/02,30.33153846153846,52.4,,,33.2,,,17.5,,,34.9,,,15229.1,,,33.65,,
110/11/03,32.45272727272727,48.86923076923077,,,29.26153846153846,,,18.892307692307693,,,29.976923076923075,,,29255.67692307692,,,30.33153846153846,,
110/11/04,32.035833333333336,50.90909090909091,,,30.954545454545453,,,20.036363636363635,,,30.87272727272727,,,29385.49090909091,,,32.45272727272727,,
110/11/05,30.953333333333333,51.85,,,30.766666666666666,,,19.70833333333333,,,32.141666666666666,,,32077.316666666666,,,32.035833333333336,,
110/11/06,30.98090909090909,50.74166666666667,,,29.916666666666668,,,18.475,,,32.266666666666666,,,26823.83333333333,,,30.953333333333333,,
110/11/07,30.344545454545457,49.627272727272725,,,29.772727272727277,,,19.145454545454545,,,30.48181818181818,,,21524.054545454543,,,30.98090909090909,,
110/11/08,30.015,48.67272727272727,52.4,,28.745454545454542,33.2,,19.009090909090908,17.5,,29.663636363636364,34.9,,18624.272727272728,15229.1,,30.344545454545457,33.65,
110/11/09,28.85538461538461,49.3,48.86923076923077,,31.05,29.26153846153846,,15.4,18.892307692307693,,33.9,29.976923076923075,,11106.3,29255.67692307692,,30.015,30.33153846153846,
110/11/10,29.94666666666667,44.638461538461534,50.90909090909091,,27.653846153846157,30.954545454545453,,17.884615384615383,20.036363636363635,,26.75384615384615,30.87272727272727,,25347.2,29385.49090909091,,28.85538461538461,32.45272727272727,
110/11/11,25.996666666666663,46.91666666666666,51.85,,29.25,30.766666666666666,,17.958333333333332,19.70833333333333,,28.95833333333333,32.141666666666666,,20926.65,32077.316666666666,,29.94666666666667,32.035833333333336,
110/11/12,29.291666666666668,45.48333333333333,50.74166666666667,,24.98333333333333,29.916666666666668,,14.683333333333332,18.475,,30.8,32.266666666666666,,12155.466666666667,26823.83333333333,,25.996666666666663,30.953333333333333,
110/11/13,29.001666666666665,45.71666666666667,49.627272727272725,,28.25,29.772727272727277,,18.116666666666667,19.145454545454545,,27.6,30.48181818181818,,30915.266666666663,21524.054545454543,,29.291666666666668,30.98090909090909,
110/11/14,29.365454545454543,45.46666666666667,48.67272727272727,,28.266666666666666,28.745454545454542,,17.716666666666665,19.009090909090908,,27.750000000000004,29.663636363636364,,27938.2,18624.272727272728,,29.001666666666665,30.344545454545457,
110/11/15,31.555,45.77272727272727,49.3,52.4,28.61818181818182,31.05,33.2,16.8,15.4,17.5,28.972727272727276,33.9,34.9,18103.272727272728,11106.3,15229.1,29.365454545454543,30.015,33.65
110/11/16,29.01,50.35,44.638461538461534,48.86923076923077,30.3,27.653846153846157,29.26153846153846,17.0,17.884615384615383,18.892307692307693,33.35,26.75384615384615,29.976923076923075,11848.1,25347.2,29255.67692307692,31.555,28.85538461538461,30.33153846153846
110/11/17,30.203333333333333,46.09166666666667,46.91666666666666,50.90909090909091,28.05,29.25,30.954545454545453,17.583333333333332,17.958333333333332,20.036363636363635,28.508333333333336,28.95833333333333,30.87272727272727,41133.11666666667,20926.65,29385.49090909091,29.01,29.94666666666667,32.45272727272727
110/11/18,29.726666666666663,48.425,45.48333333333333,51.85,29.23333333333333,24.98333333333333,30.766666666666666,17.883333333333333,14.683333333333332,19.70833333333333,30.54166666666667,30.8,32.141666666666666,41440.7,12155.466666666667,32077.316666666666,30.203333333333333,25.996666666666663,32.035833333333336
110/11/19,28.915000000000003,48.8,45.71666666666667,50.74166666666667,28.666666666666668,28.25,29.916666666666668,17.466666666666665,18.116666666666667,18.475,31.33333333333334,27.6,32.266666666666666,45761.55,30915.266666666663,26823.83333333333,29.726666666666663,29.291666666666668,30.953333333333333
110/11/20,28.085454545454542,46.78333333333333,45.46666666666667,49.627272727272725,28.066666666666663,28.266666666666666,29.772727272727277,17.066666666666666,17.716666666666665,19.145454545454545,29.716666666666665,27.750000000000004,30.48181818181818,35097.98333333333,27938.2,21524.054545454543,28.915000000000003,29.001666666666665,30.98090909090909
110/11/21,26.92,43.1,45.77272727272727,48.67272727272727,26.772727272727277,28.61818181818182,28.745454545454542,16.663636363636364,16.8,19.009090909090908,26.43636363636364,28.972727272727276,29.663636363636364,27392.236363636363,18103.272727272728,18624.272727272728,28.085454545454542,29.365454545454543,30.344545454545457
110/11/22,30.095,43.06363636363636,50.35,49.3,25.89090909090909,30.3,31.05,15.8,17.0,15.4,27.26363636363636,33.35,33.9,22418.36363636364,11848.1,11106.3,26.92,31.555,30.015
110/11/23,27.765833333333333,51.9,46.09166666666667,44.638461538461534,32.2,28.05,27.653846153846157,15.6,17.583333333333332,17.884615384615383,36.3,28.508333333333336,26.75384615384615,18286.8,41133.11666666667,25347.2,30.095,29.01,28.85538461538461
110/11/24,27.394166666666667,43.30833333333334,48.425,46.91666666666666,26.866666666666664,29.23333333333333,29.25,16.441666666666666,17.883333333333333,17.958333333333332,26.86666666666667,30.54166666666667,28.95833333333333,34798.450000000004,41440.7,20926.65,27.765833333333333,30.203333333333333,29.94666666666667
110/11/25,26.415000000000003,42.56666666666667,48.8,45.48333333333333,26.391666666666666,28.666666666666668,24.98333333333333,15.708333333333334,17.466666666666665,14.683333333333332,26.85833333333333,31.33333333333334,30.8,24881.85,45761.55,12155.466666666667,27.394166666666667,29.726666666666663,25.996666666666663
110/11/26,26.2525,42.18333333333333,46.78333333333333,45.71666666666667,25.25,28.066666666666663,28.25,16.025000000000002,17.066666666666666,18.116666666666667,26.158333333333328,29.716666666666665,27.6,25663.4,35097.98333333333,30915.266666666663,26.415000000000003,28.915000000000003,29.291666666666668
110/11/27,26.615,41.766666666666666,43.1,45.46666666666667,25.558333333333334,26.772727272727277,28.266666666666666,15.2,16.663636363636364,17.716666666666665,26.566666666666663,26.43636363636364,27.750000000000004,26662.533333333336,27392.236363636363,27938.2,26.2525,28.085454545454542,29.001666666666665
110/11/28,27.25818181818181,41.975,43.06363636363636,45.77272727272727,25.95833333333333,25.89090909090909,28.61818181818182,15.558333333333332,15.8,16.8,26.41666666666667,27.26363636363636,28.972727272727276,26962.3,22418.36363636364,18103.272727272728,26.615,26.92,29.365454545454543
110/11/29,29.99,42.48181818181818,51.9,50.35,26.41818181818182,32.2,30.3,16.445454545454545,15.6,17.0,26.03636363636364,36.3,33.35,20011.36363636364,18286.8,11848.1,27.25818181818181,30.095,31.555
110/11/30,27.348333333333333,47.7,43.30833333333334,46.09166666666667,30.65,26.866666666666664,28.05,16.7,16.441666666666666,17.583333333333332,31.000000000000004,26.86666666666667,28.508333333333336,17381.4,34798.450000000004,41133.11666666667,29.99,27.765833333333333,29.01
110/12/01,27.37,42.85,42.56666666666667,48.425,26.5,26.391666666666666,29.23333333333333,16.016666666666666,15.708333333333334,17.883333333333333,26.833333333333336,26.85833333333333,30.54166666666667,34964.26666666667,24881.85,41440.7,27.348333333333333,27.394166666666667,30.203333333333333
110/12/02,28.285,43.30833333333334,42.18333333333333,48.8,26.183333333333334,25.25,28.666666666666668,16.383333333333333,16.025000000000002,17.466666666666665,26.925000000000004,26.158333333333328,31.33333333333334,29797.233333333334,25663.4,45761.55,27.37,26.415000000000003,29.726666666666663
110/12/03,28.639166666666668,44.958333333333336,41.766666666666666,46.78333333333333,27.075,25.558333333333334,28.066666666666663,16.341666666666665,15.2,17.066666666666666,28.61666666666667,26.566666666666663,29.716666666666665,35129.48333333333,26662.533333333336,35097.98333333333,28.285,26.2525,28.915000000000003
110/12/04,28.48,44.48333333333333,41.975,43.1,27.525,25.95833333333333,26.772727272727277,16.458333333333332,15.558333333333332,16.663636363636364,28.024999999999995,26.41666666666667,26.43636363636364,36452.28333333333,26962.3,27392.236363636363,28.639166666666668,26.615,28.085454545454542
110/12/05,28.801,44.30833333333334,42.48181818181818,43.06363636363636,27.516666666666666,26.41818181818182,25.89090909090909,17.008333333333333,16.445454545454545,15.8,27.300000000000004,26.03636363636364,27.26363636363636,30006.95,20011.36363636364,22418.36363636364,28.48,27.25818181818181,26.92
110/12/06,29.405,43.12,47.7,51.9,28.05,30.65,32.2,18.03,16.7,15.6,25.09,31.000000000000004,36.3,24982.8,17381.4,18286.8,28.801,29.99,30.095
110/12/07,26.94923076923077,45.5,42.85,43.30833333333334,29.2,26.5,26.866666666666664,16.0,16.016666666666666,16.441666666666666,29.5,26.833333333333336,26.86666666666667,16209.2,34964.26666666667,34798.450000000004,29.405,27.348333333333333,27.765833333333333
110/12/08,27.17833333333333,39.20769230769231,43.30833333333334,42.56666666666667,26.46153846153846,26.183333333333334,26.391666666666666,17.053846153846152,16.383333333333333,15.708333333333334,22.153846153846157,26.925000000000004,26.85833333333333,32239.86153846154,29797.233333333334,24881.85,26.94923076923077,27.37,27.394166666666667
110/12/09,27.006,41.40833333333333,44.958333333333336,42.18333333333333,26.391666666666666,27.075,25.25,16.091666666666665,16.341666666666665,16.025000000000002,25.316666666666663,28.61666666666667,26.158333333333328,26698.2,35129.48333333333,25663.4,27.17833333333333,28.285,26.415000000000003
110/12/10,27.93,42.46,44.48333333333333,41.766666666666666,25.84,27.525,25.558333333333334,15.080000000000002,16.458333333333332,15.2,27.38,28.024999999999995,26.566666666666663,11447.48,36452.28333333333,26662.533333333336,27.006,28.639166666666668,26.2525
110/12/11,28.606666666666666,43.04166666666666,44.30833333333334,41.975,26.95833333333333,27.516666666666666,25.95833333333333,16.775000000000002,17.008333333333333,15.558333333333332,26.266666666666666,27.300000000000004,26.41666666666667,36364.05,30006.95,26962.3,27.93,28.48,26.615
110/12/12,28.007272727272724,44.2,43.12,42.48181818181818,27.758333333333336,28.05,26.41818181818182,17.099999999999998,18.03,16.445454545454545,27.1,25.09,26.03636363636364,27313.95,24982.8,20011.36363636364,28.606666666666666,28.801,27.25818181818181
110/12/13,28.1,43.79090909090909,45.5,47.7,27.027272727272727,29.2,30.65,16.054545454545455,16.0,16.7,27.736363636363635,29.5,31.000000000000004,24151.727272727272,16209.2,17381.4,28.007272727272724,29.405,29.99
110/12/14,26.99153846153846,46.1,39.20769230769231,42.85,28.35,26.46153846153846,26.5,15.15,17.053846153846152,16.016666666666666,30.950000000000003,22.153846153846157,26.833333333333336,13125.4,32239.86153846154,34964.26666666667,28.1,26.94923076923077,27.348333333333333
