日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%.1,Unnamed: 10
107/11/01,104 台北二,LB12 小白菜 土白菜 未洗,26.1,15.1,11.4,16.6, + 55,1575.0, - 42,0
107/11/01,420 豐原區,LB1 小白菜 土白菜 ,15.0,14.3,14.0,14.36,  -  ,1100.0,  -  ,0
107/11/01,930 台東市,LB1 小白菜 土白菜 ,30.0,20.0,10.0,20.0,    0,620.0,    0,0
107/11/01,400 台中市,LB1 小白菜 土白菜 ,18.0,15.8,9.7,15.5, +  6,505.0, -  4,0
107/11/01,540 南投市,LB1 小白菜 土白菜 ,24.0,21.0,19.0,20.2, + 23,178.0, + 38,0
107/11/01,338 桃　農,LB1 小白菜 土白菜 ,17.0,15.0,15.0,15.4, +  5,298.0, - 44,0
107/11/01,260 宜蘭市,LB1 小白菜 土白菜 ,15.0,10.0,6.0,10.0,    0,2250.0, +  4,0
107/11/01,648 西螺鎮,LB12 小白菜 土白菜 未洗,17.5,14.6,10.0,12.5, +  9,12883.0, + 18,0
107/11/01,241 三重區,LB1 小白菜 土白菜 ,19.4,15.9,10.8,15.6, + 31,522.0, - 24,0
107/11/01,800 高雄市,LB11 小白菜 土白菜 洗,31.2,26.4,20.2,26.1, +  5,5160.0, + 10,0
107/11/01,220 板橋區,LB1 小白菜 土白菜 ,16.7,12.4,9.5,12.7, -  1,1566.0, - 11,0
107/11/01,109 台北一,LB12 小白菜 土白菜 未洗,22.1,18.9,11.7,18.1, + 21,5072.0, - 18,0
107/11/01,900 屏東市,LB1 小白菜 土白菜 ,16.6,13.0,9.5,13.0, -  5,4166.0, - 17,0
107/11/01,830 鳳山區,LB1 小白菜 土白菜 ,19.1,13.5,11.1,14.1, - 12,2040.0, +  4,0
107/11/01,514 溪湖鎮,LB1 小白菜 土白菜 ,13.5,10.0,5.0,9.5, + 27,1280.0, -  5,0
107/11/02,220 板橋區,LB1 小白菜 土白菜 ,21.2,15.5,11.5,15.8, + 24,1241.0, - 21,0
107/11/02,400 台中市,LB1 小白菜 土白菜 ,22.0,13.0,10.0,14.4, -  7,185.0, - 63,0
