日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
112/09/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/02,28.225,32.125,26.0,,1.375,,88.25,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.125,0,0,0,0,0,1,1,9,-1.0,-1.8369701987210297e-16,0
112/09/03,28.925,34.05,26.15,,1.125,,84.5,6.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.899999999999999,0,0,0,0,0,1,2,9,-1.0,-1.8369701987210297e-16,0
112/09/04,27.6,29.35,25.775,,3.0,,89.75,13.0,28.25,28.925,27.6,,,,,,,,,,31.84166666666667,34.05,29.35,,,,,,,,,,25.974999999999998,26.15,25.775,,,,,,,,,,,,,,,,,,,,,,87.5,89.75,84.5,,,,,,,,,,8.458333333333334,13.0,6.125,,,,,,,,,,5.5,,,,,,,,3.575000000000003,0,0,0,0,0,1,3,9,-1.0,-1.8369701987210297e-16,0
112/09/05,26.975,29.85,25.275,,10.75,,90.0,10.075,27.833333333333332,28.925,26.975,,,,,,,,,,31.083333333333332,34.05,29.35,,,,,,,,,,25.73333333333333,26.15,25.275,,,,,,,,,,,,,,,,,,,,,,88.08333333333333,90.0,84.5,,,,,,,,,,9.733333333333333,13.0,6.125,,,,,,,,,,14.875,,,,,,,,4.575000000000003,0,0,0,0,0,1,4,9,-1.0,-1.8369701987210297e-16,0
112/09/06,28.3,34.3,25.225,,5.0,,83.25,8.75,27.625,28.3,26.975,,,,,,,,,,31.166666666666668,34.3,29.35,,,,,,,,,,25.425,25.775,25.225,,,,,,,,,,,,,,,,,,,,,,87.66666666666667,90.0,83.25,,,,,,,,,,10.608333333333333,13.0,8.75,,,,,,,,,,18.75,,,,,,,,9.074999999999996,0,0,0,0,0,1,5,9,-1.0,-1.8369701987210297e-16,0
112/09/07,27.25,34.025,24.6,,38.75,,88.5,7.525,27.508333333333336,28.3,26.975,,,,,,,,,,32.725,34.3,29.85,,,,,,,,,,25.03333333333333,25.275,24.6,,,,,,,,,,,,,,,,,,,,,,87.25,90.0,83.25,,,,,,,,,,8.783333333333333,10.075,7.525,,,,,,,,,,54.5,,,,,,,,9.424999999999997,0,0,0,0,0,1,6,9,-1.0,-1.8369701987210297e-16,0
112/09/08,27.35,32.925,24.775,,2.125,,88.75,6.5,27.633333333333336,28.3,27.25,27.803571428571427,28.925,26.975,,,,,,,33.75,34.3,32.925,32.375,34.3,29.35,,,,,,,24.866666666666664,25.225,24.6,25.400000000000002,26.15,24.6,,,,,,,,,,,,,,,,,,,86.83333333333333,88.75,83.25,87.57142857142857,90.0,83.25,,,,,,,7.591666666666666,8.75,6.5,8.317857142857143,13.0,6.125,,,,,,,45.875,62.125,,,,,,,8.149999999999999,0,0,0,0,0,1,7,9,-1.0,-1.8369701987210297e-16,0
112/09/09,26.8,32.85,24.2,,24.125,,89.75,8.45,27.133333333333336,27.35,26.8,27.6,28.925,26.8,,,,,,,33.266666666666666,34.025,32.85,32.47857142857143,34.3,29.35,,,,,,,24.525000000000002,24.775,24.2,25.142857142857142,26.15,24.2,,,,,,,,,,,,,,,,,,,89.0,89.75,88.5,87.78571428571429,90.0,83.25,,,,,,,7.491666666666667,8.45,6.5,8.632142857142856,13.0,6.125,,,,,,,65.0,84.875,,,,,,,8.650000000000002,0,0,0,0,0,1,8,9,-1.0,-1.8369701987210297e-16,0
112/09/10,26.65,31.525,24.0,,16.5,,88.25,7.925,26.933333333333334,27.35,26.65,27.275000000000002,28.3,26.65,,,,,,,32.43333333333334,32.925,31.525,32.11785714285715,34.3,29.35,,,,,,,24.325,24.775,24.0,24.835714285714285,25.775,24.0,,,,,,,,,,,,,,,,,,,88.91666666666667,89.75,88.25,88.32142857142857,90.0,83.25,,,,,,,7.625,8.45,6.5,8.889285714285714,13.0,6.5,,,,,,,42.75,100.25,,,,,,,7.524999999999999,0,0,0,0,0,1,9,9,-1.0,-1.8369701987210297e-16,0
