日期,氣溫(℃)_lag1d,最高氣溫(℃)_lag1d,最低氣溫(℃)_lag1d,日照時數(hour)_lag1d,降水量(mm)_lag1d,降水時數(hour)_lag1d,相對溼度(%)_lag1d,最大陣風(m/s)_lag1d,氣溫(℃)_rollmean_3d_prev,氣溫(℃)_rollmax_3d_prev,氣溫(℃)_rollmin_3d_prev,氣溫(℃)_rollmean_7d_prev,氣溫(℃)_rollmax_7d_prev,氣溫(℃)_rollmin_7d_prev,氣溫(℃)_rollmean_15d_prev,氣溫(℃)_rollmax_15d_prev,氣溫(℃)_rollmin_15d_prev,氣溫(℃)_rollmean_30d_prev,氣溫(℃)_rollmax_30d_prev,氣溫(℃)_rollmin_30d_prev,最高氣溫(℃)_rollmean_3d_prev,最高氣溫(℃)_rollmax_3d_prev,最高氣溫(℃)_rollmin_3d_prev,最高氣溫(℃)_rollmean_7d_prev,最高氣溫(℃)_rollmax_7d_prev,最高氣溫(℃)_rollmin_7d_prev,最高氣溫(℃)_rollmean_15d_prev,最高氣溫(℃)_rollmax_15d_prev,最高氣溫(℃)_rollmin_15d_prev,最高氣溫(℃)_rollmean_30d_prev,最高氣溫(℃)_rollmax_30d_prev,最高氣溫(℃)_rollmin_30d_prev,最低氣溫(℃)_rollmean_3d_prev,最低氣溫(℃)_rollmax_3d_prev,最低氣溫(℃)_rollmin_3d_prev,最低氣溫(℃)_rollmean_7d_prev,最低氣溫(℃)_rollmax_7d_prev,最低氣溫(℃)_rollmin_7d_prev,最低氣溫(℃)_rollmean_15d_prev,最低氣溫(℃)_rollmax_15d_prev,最低氣溫(℃)_rollmin_15d_prev,最低氣溫(℃)_rollmean_30d_prev,最低氣溫(℃)_rollmax_30d_prev,最低氣溫(℃)_rollmin_30d_prev,日照時數(hour)_rollmean_3d_prev,日照時數(hour)_rollmax_3d_prev,日照時數(hour)_rollmin_3d_prev,日照時數(hour)_rollmean_7d_prev,日照時數(hour)_rollmax_7d_prev,日照時數(hour)_rollmin_7d_prev,日照時數(hour)_rollmean_15d_prev,日照時數(hour)_rollmax_15d_prev,日照時數(hour)_rollmin_15d_prev,日照時數(hour)_rollmean_30d_prev,日照時數(hour)_rollmax_30d_prev,日照時數(hour)_rollmin_30d_prev,相對溼度(%)_rollmean_3d_prev,相對溼度(%)_rollmax_3d_prev,相對溼度(%)_rollmin_3d_prev,相對溼度(%)_rollmean_7d_prev,相對溼度(%)_rollmax_7d_prev,相對溼度(%)_rollmin_7d_prev,相對溼度(%)_rollmean_15d_prev,相對溼度(%)_rollmax_15d_prev,相對溼度(%)_rollmin_15d_prev,相對溼度(%)_rollmean_30d_prev,相對溼度(%)_rollmax_30d_prev,相對溼度(%)_rollmin_30d_prev,最大陣風(m/s)_rollmean_3d_prev,最大陣風(m/s)_rollmax_3d_prev,最大陣風(m/s)_rollmin_3d_prev,最大陣風(m/s)_rollmean_7d_prev,最大陣風(m/s)_rollmax_7d_prev,最大陣風(m/s)_rollmin_7d_prev,最大陣風(m/s)_rollmean_15d_prev,最大陣風(m/s)_rollmax_15d_prev,最大陣風(m/s)_rollmin_15d_prev,最大陣風(m/s)_rollmean_30d_prev,最大陣風(m/s)_rollmax_30d_prev,最大陣風(m/s)_rollmin_30d_prev,降水量(mm)_rollsum_3d_prev,降水量(mm)_rollsum_7d_prev,降水量(mm)_rollsum_15d_prev,降水量(mm)_rollsum_30d_prev,降水時數(hour)_rollsum_3d_prev,降水時數(hour)_rollsum_7d_prev,降水時數(hour)_rollsum_15d_prev,降水時數(hour)_rollsum_30d_prev,daily_temp_range_prev,is_cold_wave_prev,is_strong_cold_prev,is_frost_risk_prev,is_strong_wind_prev,is_heavy_rain_prev,rainy_day_prev,consec_rainy_days_prev,month,month_sin,month_cos,is_winter
112/09/11,26.15,30.65,24.0,,11.75,,89.5,5.7,26.48333333333333,26.65,26.15,27.0,28.15,26.15,,,,,,,31.45,32.25,30.65,32.06428571428571,34.2,29.35,,,,,,,24.100000000000005,24.25,24.0,24.614285714285717,25.45,24.0,,,,,,,,,,,,,,,,,,,88.66666666666667,89.5,87.0,87.5,89.5,82.5,,,,,,,7.833333333333333,9.2,5.7,8.221428571428572,11.1,5.7,,,,,,,53.75,96.75,,,,,,,6.649999999999999,0,0,0,0,0,1,8,9,-1.0,-1.8369701987210297e-16,0
112/09/12,27.1,30.75,24.25,,0.0,,83.5,6.2,26.633333333333336,27.1,26.15,27.02857142857143,28.15,26.15,,,,,,,30.95,31.45,30.65,32.26428571428571,34.2,30.65,,,,,,,24.100000000000005,24.25,24.0,24.47142857142857,25.45,24.0,,,,,,,,,,,,,,,,,,,86.66666666666667,89.5,83.5,86.64285714285714,89.5,82.5,,,,,,,6.833333333333333,8.6,5.7,7.521428571428572,9.2,5.7,,,,,,,30.0,86.0,,,,,,,6.5,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/13,27.7,31.700000000000003,24.3,,0.0,,78.5,5.75,26.98333333333333,27.7,26.15,26.964285714285715,27.7,26.15,,,,,,,31.03333333333333,31.700000000000003,30.65,31.907142857142855,34.0,30.65,,,,,,,24.183333333333334,24.3,24.0,24.307142857142857,24.75,24.0,,,,,,,,,,,,,,,,,,,83.83333333333333,89.5,78.5,86.07142857142857,89.5,78.5,,,,,,,5.883333333333333,6.2,5.7,7.092857142857143,9.2,5.7,,,,,,,11.75,84.5,,,,,,,7.400000000000002,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/14,27.9,31.45,24.85,,0.0,,78.0,5.65,27.566666666666666,27.9,27.1,27.078571428571426,27.9,26.15,,,,,,,31.3,31.700000000000003,30.75,31.54285714285714,32.55,30.65,,,,,,,24.46666666666667,24.85,24.25,24.349999999999998,24.85,24.0,,,,,,,,,,,,,,,,,,,80.0,83.5,78.0,84.78571428571429,89.5,78.0,,,,,,,5.866666666666667,6.2,5.65,6.807142857142857,9.2,5.65,,,,,,,0.0,56.25,,,,,,,6.599999999999998,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/15,27.95,31.950000000000003,24.6,,0.0,,76.5,6.15,27.849999999999998,27.95,27.7,27.157142857142855,27.95,26.15,,,,,,,31.700000000000003,31.950000000000003,31.45,31.45714285714286,32.25,30.65,,,,,,,24.583333333333332,24.85,24.3,24.32857142857143,24.85,24.0,,,,,,,,,,,,,,,,,,,77.66666666666667,78.5,76.5,83.21428571428571,89.5,76.5,,,,,,,5.8500000000000005,6.15,5.65,6.75,9.2,5.65,,,,,,,0.0,53.75,,,,,,,7.350000000000001,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/16,28.15,32.400000000000006,24.7,,0.0,,75.5,6.699999999999999,28.0,28.15,27.9,27.37142857142857,28.15,26.15,27.526666666666664,29.05,26.15,,,,31.933333333333337,32.400000000000006,31.45,31.47857142857143,32.400000000000006,30.65,31.83,34.2,29.25,,,,24.71666666666667,24.85,24.6,24.392857142857142,24.85,24.0,24.876666666666665,26.25,24.0,,,,,,,,,,,,,,,,76.66666666666667,78.0,75.5,81.21428571428571,89.5,75.5,83.93333333333334,89.5,75.5,,,,6.166666666666667,6.699999999999999,5.65,6.392857142857143,8.6,5.65,7.73,14.3,5.65,,,,0.0,30.0,101.0,,,,,,7.700000000000006,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/17,28.4,33.4,24.8,,0.0,,75.0,6.05,28.166666666666668,28.4,27.95,27.62142857142857,28.4,26.15,27.526666666666667,29.05,26.15,,,,32.583333333333336,33.4,31.950000000000003,31.75714285714286,33.4,30.65,31.923333333333336,34.2,29.25,,,,24.7,24.8,24.6,24.5,24.85,24.0,24.793333333333333,26.25,24.0,,,,,,,,,,,,,,,,75.66666666666667,76.5,75.0,79.5,89.5,75.0,83.23333333333333,89.5,75.0,,,,6.3,6.699999999999999,6.05,6.028571428571429,6.699999999999999,5.65,7.64,14.3,5.65,,,,0.0,11.75,100.0,,,,,,8.599999999999998,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/18,28.6,32.4,26.25,,0.0,,77.0,6.1,28.38333333333333,28.6,28.15,27.971428571428568,28.6,27.1,27.496666666666666,28.6,26.15,,,,32.733333333333334,33.4,32.4,32.00714285714286,33.4,30.75,31.85,34.2,29.25,,,,25.25,26.25,24.7,24.821428571428573,26.25,24.25,24.793333333333333,26.25,24.0,,,,,,,,,,,,,,,,75.83333333333333,77.0,75.0,77.71428571428571,83.5,75.0,82.96666666666667,89.5,75.0,,,,6.283333333333332,6.699999999999999,6.05,6.085714285714286,6.699999999999999,5.65,7.629999999999999,14.3,5.65,,,,0.0,0.0,100.0,,,,,,6.149999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/19,28.35,32.25,25.55,,0.0,,79.0,6.95,28.450000000000003,28.6,28.35,28.150000000000002,28.6,27.7,27.543333333333333,28.6,26.15,,,,32.68333333333333,33.4,32.25,32.221428571428575,33.4,31.45,32.05,34.2,29.35,,,,25.53333333333333,26.25,24.8,25.007142857142856,26.25,24.3,24.773333333333333,26.25,24.0,,,,,,,,,,,,,,,,77.0,79.0,75.0,77.07142857142857,79.0,75.0,82.36666666666666,89.5,75.0,,,,6.366666666666667,6.95,6.05,6.192857142857142,6.95,5.65,7.14,11.1,5.65,,,,0.0,0.0,96.75,,,,,,6.699999999999999,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
112/09/20,28.65,33.35,25.05,,0.0,,79.0,6.4,28.53333333333333,28.65,28.35,28.285714285714285,28.65,27.9,27.66,28.65,26.15,,,,32.666666666666664,33.35,32.25,32.457142857142856,33.4,31.45,32.31666666666667,34.2,30.65,,,,25.61666666666667,26.25,25.05,25.114285714285717,26.25,24.6,24.76,26.25,24.0,,,,,,,,,,,,,,,,78.33333333333333,79.0,77.0,77.14285714285714,79.0,75.0,81.66666666666667,89.5,75.0,,,,6.483333333333333,6.95,6.1,6.285714285714286,6.95,5.65,6.826666666666667,9.2,5.65,,,,0.0,0.0,86.0,,,,,,8.3,0,0,0,0,0,0,0,9,-1.0,-1.8369701987210297e-16,0
