日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
112/11/01,30.991875,42.38125,31.225,19.8875,19372.5,22.493750000000002
112/11/02,29.494999999999997,41.71875,29.45,17.3625,17589.0625,24.35625
112/11/03,27.409375,38.64375,27.68125,16.1375,18172.0625,22.506249999999998
112/11/04,26.82625,37.74375,26.5,17.96875,21334.9375,19.775
112/11/05,25.13714285714286,37.221428571428575,25.021428571428572,14.321428571428571,14190.07142857143,22.900000000000006
112/11/06,17.566666666666666,24.900000000000002,17.733333333333334,9.666666666666666,70416.33333333333,15.233333333333336
112/11/07,25.529374999999998,37.15625,25.74375,15.9875,23665.0625,21.16875
112/11/08,27.28529411764706,37.05294117647059,27.329411764705885,17.288235294117644,23181.058823529413,19.764705882352946
112/11/09,27.65529411764706,39.470588235294116,27.647058823529413,18.476470588235294,18176.176470588234,20.99411764705882
112/11/10,25.058823529411764,36.747058823529414,24.723529411764705,16.58823529411765,24976.70588235294,20.158823529411766
112/11/11,24.756470588235295,34.05882352941177,24.805882352941175,16.011764705882353,26471.529411764706,18.047058823529415
112/11/12,24.355384615384615,33.66153846153846,24.284615384615385,16.084615384615383,17927.846153846152,17.57692307692308
112/11/13,29.2,35.6,30.0,18.7,56772.0,16.900000000000002
112/11/14,25.04647058823529,34.67058823529412,25.24705882352941,16.470588235294116,27886.117647058825,18.200000000000003
112/11/15,24.81625,34.5125,24.7875,15.175,31299.0625,19.337500000000002
112/11/16,23.103333333333335,32.25555555555556,23.711111111111112,14.044444444444444,27940.944444444445,18.211111111111116
112/11/17,24.937058823529412,33.7235294117647,24.741176470588236,15.170588235294117,34079.64705882353,18.552941176470583
112/11/18,23.499411764705883,32.523529411764706,23.288235294117644,15.423529411764704,36824.17647058824,17.1
112/11/19,22.372857142857146,30.228571428571428,22.207142857142856,13.685714285714285,22446.64285714286,16.542857142857144
112/11/20,22.925,31.05,23.1,12.175,60070.0,18.875
112/11/21,22.642352941176473,30.982352941176465,22.50588235294118,14.6,32713.823529411766,16.382352941176464
112/11/22,21.125882352941176,29.388235294117646,20.86470588235294,14.305882352941175,32541.41176470588,15.08235294117647
112/11/23,19.803529411764707,27.81764705882353,19.488235294117647,12.799999999999999,30618.764705882353,15.01764705882353
112/11/24,20.271764705882354,28.16470588235294,20.294117647058822,12.958823529411765,32652.470588235294,15.205882352941176
112/11/25,18.61941176470588,26.594117647058823,18.88235294117647,11.341176470588236,37645.529411764706,15.252941176470587
112/11/26,18.675,25.75,18.657142857142855,12.092857142857143,27989.428571428572,13.657142857142857
112/11/27,15.55,20.175,15.925,9.525,64953.75,10.65
112/11/28,16.504117647058823,24.88235294117647,16.629411764705882,9.911764705882353,43752.82352941176,14.970588235294118
112/11/29,14.765882352941176,22.15294117647059,14.370588235294118,8.323529411764707,41969.82352941176,13.829411764705885
112/11/30,13.560588235294118,20.311764705882354,13.352941176470589,7.911764705882353,40567.470588235294,12.4
112/12/01,11.298823529411763,17.65294117647059,10.823529411764707,6.705882352941177,43049.470588235294,10.947058823529414
112/12/02,12.134705882352941,18.72941176470588,11.847058823529412,7.482352941176471,40610.294117647056,11.247058823529409
112/12/03,13.179285714285713,19.157142857142855,12.985714285714286,8.214285714285714,24373.214285714286,10.942857142857141
112/12/04,10.8,15.3,10.6,6.925,75642.0,8.375
112/12/05,12.25,18.3,12.023529411764706,7.535294117647059,40837.05882352941,10.764705882352942
112/12/06,12.943125,18.6875,12.8875,8.5875,41300.5,10.1
112/12/07,10.95111111111111,16.87777777777778,10.488888888888889,6.6,38470.11111111111,10.27777777777778
112/12/08,13.055294117647058,18.958823529411767,12.941176470588236,8.488235294117647,45463.64705882353,10.47058823529412
112/12/09,11.81764705882353,17.099999999999998,11.623529411764705,7.541176470588234,47095.23529411765,9.558823529411764
112/12/10,11.546428571428573,17.021428571428572,11.314285714285715,6.814285714285715,33105.142857142855,10.207142857142857
112/12/11,11.975000000000001,15.55,12.125,7.75,74047.625,7.800000000000001
112/12/12,11.6,16.647058823529413,11.511764705882353,7.005882352941177,43060.91176470588,9.641176470588235
112/12/13,10.957647058823529,15.711764705882354,11.023529411764706,6.982352941176471,41015.85294117647,8.729411764705883
112/12/14,10.797647058823529,16.11176470588235,10.547058823529412,7.0058823529411764,36080.58823529412,9.105882352941174
112/12/15,10.375882352941176,15.25294117647059,10.323529411764707,6.635294117647058,45645.882352941175,8.61764705882353
112/12/16,9.932941176470587,15.570588235294117,9.41764705882353,6.382352941176471,42888.32352941176,9.188235294117646
112/12/17,11.307142857142859,17.335714285714285,10.87857142857143,7.171428571428572,28393.214285714286,10.164285714285715
112/12/18,8.4,11.475,8.4,5.65,71156.0,5.824999999999999
112/12/19,11.41294117647059,17.24705882352941,11.152941176470588,6.511764705882353,42195.05882352941,10.735294117647058
112/12/20,13.282941176470588,18.235294117647058,13.288235294117648,8.24705882352941,40890.705882352944,9.988235294117647
112/12/21,12.118235294117646,17.900000000000002,12.088235294117647,7.370588235294117,39684.41176470588,10.529411764705884
112/12/22,11.523529411764706,16.623529411764707,11.51764705882353,6.447058823529411,44964.82352941176,10.176470588235297
112/12/23,11.463529411764705,16.61176470588235,11.476470588235294,7.064705882352941,47936.58823529412,9.54705882352941
112/12/24,11.4,17.12142857142857,11.064285714285715,6.735714285714286,34837.28571428572,10.385714285714284
112/12/25,9.9,13.05,9.9,5.775,70637.0,7.275
112/12/26,10.770588235294117,16.48235294117647,10.452941176470588,6.752941176470588,46468.35294117647,9.72941176470588
112/12/27,10.505882352941176,16.00588235294118,10.335294117647058,6.141176470588236,45010.82352941176,9.864705882352943
112/12/28,9.926470588235293,15.005882352941176,9.74705882352941,5.523529411764706,47652.76470588235,9.48235294117647
112/12/29,11.170588235294119,15.582352941176469,11.123529411764705,6.388235294117647,42705.882352941175,9.194117647058821
112/12/30,10.7225,15.3125,10.65625,6.26875,46793.0,9.04375
112/12/31,8.644285714285713,13.271428571428572,8.378571428571428,5.185714285714285,41698.07142857143,8.085714285714287
113/01/01,9.475,12.125,9.45,6.025,78456.25,6.1
113/01/02,9.237647058823528,13.68235294117647,9.329411764705881,5.611764705882353,48546.294117647056,8.070588235294117
113/01/03,8.264705882352942,13.205882352941176,8.24705882352941,4.923529411764706,47238.0,8.28235294117647
113/01/04,7.7175,12.24375,7.7875,4.43125,42874.90625,7.8125
113/01/05,8.57529411764706,12.805882352941175,8.423529411764704,5.435294117647059,47621.05882352941,7.370588235294116
113/01/06,8.782352941176471,12.711764705882352,8.852941176470589,5.741176470588235,48494.294117647056,6.970588235294117
113/01/07,8.892857142857142,13.12142857142857,9.114285714285714,5.557142857142857,35164.71428571428,7.564285714285713
113/01/08,8.8,10.975,8.625,5.575,79888.75,5.3999999999999995
