日期,價格(元/公斤),上價,中價,下價,交易量(公斤),價格區間
113/11/01,27.856,37.21333333333334,28.146666666666665,16.006666666666668,15138.066666666668,21.20666666666667
113/11/02,27.79941176470588,42.37647058823529,26.46470588235294,16.84705882352941,13607.588235294117,25.529411764705884
113/11/03,27.235000000000003,45.550000000000004,24.5,16.178571428571427,11700.785714285714,29.371428571428577
113/11/04,27.633333333333336,35.53333333333333,27.8,19.333333333333332,41304.333333333336,16.2
113/11/05,23.87375,38.5875,22.41875,13.58125,25795.5625,25.006249999999998
113/11/06,22.658,37.84,20.873333333333335,12.353333333333332,28743.8,25.48666666666667
113/11/07,22.08875,35.28125,20.4,12.33125,24916.5625,22.95
113/11/08,22.665625,34.65,21.6,12.95625,27906.9375,21.693749999999998
113/11/09,21.28529411764706,34.11176470588235,19.688235294117646,12.641176470588235,26582.941176470587,21.470588235294116
113/11/10,22.955000000000002,35.535714285714285,21.235714285714288,14.178571428571429,20620.071428571428,21.357142857142854
113/11/11,22.7,35.3,21.225,11.65,47571.25,23.65
113/11/12,23.608823529411765,35.93529411764706,22.176470588235293,13.852941176470589,28222.117647058825,22.082352941176474
113/11/13,24.672941176470587,38.42352941176471,23.558823529411764,14.217647058823529,27962.235294117647,24.20588235294118
113/11/14,24.527647058823533,38.529411764705884,23.141176470588235,14.152941176470588,24868.117647058825,24.376470588235296
113/11/15,25.621176470588235,39.34705882352941,24.358823529411765,14.835294117647058,33047.35294117647,24.51176470588235
113/11/16,22.255625,36.25,21.28125,11.38125,33804.0,24.86875
113/11/17,23.702142857142857,38.271428571428565,22.057142857142857,12.571428571428571,16252.642857142857,25.699999999999996
113/11/18,25.666666666666668,40.06666666666667,25.833333333333332,13.666666666666666,76106.33333333333,26.400000000000006
113/11/19,26.704117647058826,40.44705882352941,25.41764705882353,16.3,29479.117647058825,24.14705882352941
113/11/20,30.900625,44.025,30.23125,19.45625,28559.875,24.568749999999998
113/11/21,31.220000000000002,45.077777777777776,30.188888888888886,19.900000000000002,22343.722222222223,25.177777777777774
113/11/22,32.28823529411765,47.99411764705882,31.329411764705885,19.63529411764706,23373.235294117647,28.35882352941176
113/11/23,33.638125,52.24375,32.175,20.25,25080.3125,31.99375
113/11/24,39.027857142857144,57.199999999999996,37.550000000000004,24.442857142857143,15832.0,32.75714285714285
113/11/25,43.525000000000006,59.9,43.625,28.425,43392.0,31.474999999999998
113/11/26,41.32176470588235,56.72941176470588,40.370588235294115,27.523529411764706,21558.764705882353,29.205882352941174
113/11/27,41.530625,54.35625,40.9125,28.89375,24954.1875,25.462500000000002
113/11/28,41.69117647058823,55.300000000000004,41.28235294117647,28.66470588235294,21131.882352941175,26.635294117647064
113/11/29,41.424705882352946,55.88235294117647,40.5,28.241176470588236,23695.70588235294,27.641176470588235
113/11/30,40.38375,55.606249999999996,39.09375,27.26875,22236.75,28.337499999999995
113/12/01,41.80142857142857,58.51428571428572,40.48571428571428,28.55,14393.07142857143,29.96428571428572
113/12/02,38.300000000000004,54.56666666666666,38.5,22.333333333333332,40741.333333333336,32.233333333333334
113/12/03,48.12,59.71875,47.49375,35.7,19925.96875,24.018749999999997
113/12/04,50.199999999999996,65.41764705882352,49.17058823529412,37.32941176470588,15039.64705882353,28.088235294117638
113/12/05,49.859375,64.8125,48.98125,37.81875,16544.5625,26.99375
113/12/06,45.866470588235295,60.42352941176471,44.61176470588235,32.129411764705885,20065.0,28.294117647058826
113/12/07,41.88411764705882,55.55882352941177,40.85294117647059,30.476470588235294,23774.70588235294,25.082352941176474
113/12/08,40.15428571428571,52.221428571428575,39.135714285714286,29.864285714285717,17087.85714285714,22.357142857142858
113/12/09,48.725,61.475,49.925,34.85,36236.875,26.625
113/12/10,40.19176470588235,51.34705882352941,39.11176470588235,28.96470588235294,26934.647058823528,22.382352941176467
113/12/11,38.45647058823529,49.752941176470586,37.59411764705882,28.170588235294115,27411.29411764706,21.58235294117647
113/12/12,35.90705882352941,47.42352941176471,34.705882352941174,26.405882352941177,20880.176470588234,21.017647058823535
113/12/13,36.89529411764706,46.49411764705882,36.62352941176471,26.988235294117647,25155.735294117647,19.505882352941175
113/12/14,33.951764705882354,44.33529411764706,33.182352941176475,23.49411764705882,28539.470588235294,20.841176470588238
113/12/15,33.815714285714286,43.114285714285714,32.885714285714286,25.55,20422.714285714286,17.564285714285713
113/12/16,35.8,47.3,36.175,23.425,48053.25,23.874999999999996
113/12/17,36.54176470588236,45.252941176470586,35.911764705882355,28.04705882352941,27564.647058823528,17.205882352941174
